Order #;Type;Signal;Date;Time;Price;Contracts;Profit ($);Profit (%);Cum. Profit ($);Cum. Profit (%);Run-up ($);Run-up (%);Drawdown ($);Drawdown (%)
1;EntryLong;Enter2;9/15/20;4:25:00 AM;37,18;1;390;1,04895104895105;390;0,39;390;1,04895104895105;0;0
2;ExitLong;Profit Target;9/15/20;4:40:00 AM;37,57;1;;;;;;;;
3;EntryLong;Enter1;9/15/20;10:15:00 AM;37,54;1;450;1,19872136387853;840;0,84;450;1,19872136387853;-130;-0,346297282898242
4;ExitLong;Profit Target;9/15/20;11:35:00 AM;37,99;1;;;;;;;;
5;EntryShort;Enter2;9/15/20;4:55:00 PM;38,4;1;-130;-0,338541666666667;710;0,71;50;0,130208333333333;-130;-0,338541666666667
6;ExitShort;Stop Loss;9/15/20;6:05:00 PM;38,53;1;;;;;;;;
7;EntryLong;Enter1;9/15/20;9:10:00 PM;38,45;1;120;0,312093628088427;830;0,83;120;0,312093628088427;-10;-0,0260078023407022
8;ExitLong;Exit Long;9/15/20;9:20:00 PM;38,57;1;;;;;;;;
9;EntryLong;Enter1;9/16/20;2:20:00 AM;38,93;1;330;0,847675314667352;1160;1,16;330;0,847675314667352;-20;-0,051374261494991
10;ExitLong;Profit Target;9/16/20;3:30:00 AM;39,26;1;;;;;;;;
11;EntryLong;Enter1;9/16/20;4:10:00 AM;39,24;1;20;0,0509683995922528;1180;1,18;180;0,458715596330275;-150;-0,382262996941896
12;ExitLong;Exit Long;9/16/20;7:15:00 AM;39,26;1;;;;;;;;
13;EntryShort;Enter1;9/16/20;7:15:00 AM;39,19;1;-100;-0,25516713447308;1080;1,08;240;0,612401122735392;-100;-0,25516713447308
14;ExitShort;Stop Loss;9/16/20;9:05:00 AM;39,29;1;;;;;;;;
15;EntryShort;Enter1;9/16/20;9:45:00 AM;39,25;1;-250;-0,636942675159236;830;0,83;100;0,254777070063694;-250;-0,636942675159236
16;ExitShort;Stop Loss;9/16/20;10:05:00 AM;39,5;1;;;;;;;;
17;EntryLong;Enter1;9/16/20;10:50:00 AM;39,4;1;10;0,0253807106598985;840;0,84;10;0,0253807106598985;-180;-0,456852791878173
18;ExitLong;Exit Long;9/16/20;10:55:00 AM;39,41;1;;;;;;;;
19;EntryLong;Enter1;9/16/20;2:05:00 PM;40,04;1;-150;-0,374625374625375;690;0,69;300;0,749250749250749;-150;-0,374625374625375
20;ExitLong;Stop Loss;9/16/20;9:55:00 PM;39,89;1;;;;;;;;
21;EntryLong;Enter2;9/17/20;3:10:00 AM;39,54;1;390;0,986342943854325;1080;1,08;390;0,986342943854325;0;0
22;ExitLong;Profit Target;9/17/20;4:10:00 AM;39,93;1;;;;;;;;
23;EntryShort;Enter2;9/17/20;7:35:00 AM;40,28;1;360;0,893743793445879;1440;1,44;360;0,893743793445879;0;0
24;ExitShort;Profit Target;9/17/20;8:15:00 AM;39,92;1;;;;;;;;
25;EntryLong;Enter1;9/17/20;9:05:00 AM;39,95;1;-160;-0,400500625782228;1280;1,28;110;0,275344180225282;-160;-0,400500625782228
26;ExitLong;Stop Loss;9/17/20;9:10:00 AM;39,79;1;;;;;;;;
27;EntryLong;Enter1;9/17/20;9:30:00 AM;39,95;1;380;0,951188986232791;1660;1,66;380;0,951188986232791;-180;-0,450563204005006
28;ExitLong;Exit Long;9/17/20;10:05:00 AM;40,33;1;;;;;;;;
29;EntryLong;Enter1;9/20/20;8:25:00 PM;41,05;1;330;0,803897685749086;1990;1,99;330;0,803897685749086;-80;-0,194884287454324
30;ExitLong;Profit Target;9/20/20;9:50:00 PM;41,38;1;;;;;;;;
31;EntryShort;Enter2;9/20/20;11:20:00 PM;41,34;1;480;1,1611030478955;2470;2,47;480;1,1611030478955;-90;-0,217706821480406
32;ExitShort;Profit Target;9/21/20;2:55:00 AM;40,86;1;;;;;;;;
33;EntryLong;Enter1;9/21/20;9:00:00 AM;40,37;1;-180;-0,445875650235323;2290;2,29;370;0,916522169928165;-180;-0,445875650235323
34;ExitLong;Stop Loss;9/21/20;9:40:00 AM;40,19;1;;;;;;;;
35;EntryLong;Enter2;9/21/20;8:50:00 PM;39,81;1;-100;-0,251193167545843;2190;2,19;140;0,35167043456418;-100;-0,251193167545843
36;ExitLong;Stop Loss;9/21/20;9:20:00 PM;39,71;1;;;;;;;;
37;EntryLong;Enter1;9/21/20;9:40:00 PM;39,81;1;-220;-0,552624968600854;1970;1,97;40;0,100477267018337;-220;-0,552624968600854
38;ExitLong;Stop Loss;9/22/20;1:10:00 AM;39,59;1;;;;;;;;
39;EntryLong;Enter2;9/22/20;3:05:00 AM;39,52;1;420;1,06275303643725;2390;2,39;420;1,06275303643725;-10;-0,0253036437246964
40;ExitLong;Profit Target;9/22/20;4:20:00 AM;39,94;1;;;;;;;;
41;EntryShort;Enter1;9/22/20;7:50:00 AM;39,85;1;-260;-0,652446675031368;2130;2,13;370;0,928481806775408;-260;-0,652446675031368
42;ExitShort;Stop Loss;9/22/20;9:20:00 AM;40,11;1;;;;;;;;
43;EntryShort;Enter2;9/22/20;2:30:00 PM;39,82;1;330;0,828729281767956;2460;2,46;330;0,828729281767956;-90;-0,226017076845806
44;ExitShort;Profit Target;9/22/20;8:50:00 PM;39,49;1;;;;;;;;
45;EntryLong;Enter2;9/23/20;1:25:00 AM;39,39;1;120;0,304645849200305;2580;2,58;120;0,304645849200305;0;0
46;ExitLong;Profit Target;9/23/20;1:35:00 AM;39,51;1;;;;;;;;
47;EntryLong;Enter2;9/23/20;2:15:00 AM;39,39;1;-50;-0,126935770500127;2530;2,53;10;0,0253871541000254;-50;-0,126935770500127
48;ExitLong;Stop Loss;9/23/20;2:15:00 AM;39,34;1;;;;;;;;
49;EntryLong;Enter2;9/23/20;3:05:00 AM;39,47;1;450;1,14010640993159;2980;2,98;450;1,14010640993159;-170;-0,430706865974158
50;ExitLong;Exit Long;9/23/20;4:45:00 AM;39,92;1;;;;;;;;
51;EntryShort;Enter2;9/23/20;9:00:00 AM;39,9;1;-110;-0,275689223057644;2870;2,87;120;0,300751879699248;-110;-0,275689223057644
52;ExitShort;Stop Loss;9/23/20;9:20:00 AM;40,01;1;;;;;;;;
53;EntryShort;Enter1;9/23/20;9:20:00 AM;39,9;1;-170;-0,426065162907268;2700;2,7;20;0,050125313283208;-170;-0,426065162907268
54;ExitShort;Stop Loss;9/23/20;9:30:00 AM;40,07;1;;;;;;;;
55;EntryShort;Enter3;9/23/20;9:35:00 AM;39,94;1;-140;-0,350525788683025;2560;2,56;40;0,100150225338007;-140;-0,350525788683025
56;ExitShort;Stop Loss;9/23/20;9:40:00 AM;40,08;1;;;;;;;;
57;EntryShort;Enter3;9/23/20;9:45:00 AM;39,94;1;240;0,600901352028042;2800;2,8;240;0,600901352028042;-170;-0,42563845768653
58;ExitShort;Exit Short;9/23/20;10:20:00 AM;39,7;1;;;;;;;;
59;EntryLong;Enter1;9/23/20;10:40:00 AM;39,89;1;60;0,150413637503134;2860;2,86;60;0,150413637503134;-90;-0,2256204562547
60;ExitLong;Exit Long;9/23/20;10:45:00 AM;39,95;1;;;;;;;;
61;EntryLong;Enter1;9/23/20;4:05:00 PM;39,66;1;-160;-0,403429147755925;2700;2,7;20;0,0504286434694907;-160;-0,403429147755925
