Order #;Type;Signal;Date;Time;Price;Contracts;Profit ($);Profit (%);Cum. Profit ($);Cum. Profit (%);Run-up ($);Run-up (%);Drawdown ($);Drawdown (%)
1;EntryLong;Enter;1/2/19;6:50:00 PM;6220;1;-150;-0,120578778135048;-150;-0,15;5;0,00401929260450161;-150;-0,120578778135048
2;ExitLong;Stop Loss;1/2/19;6:51:00 PM;6212,5;1;;;;;;;;
3;EntryLong;Enter;1/2/19;7:59:00 PM;6225,25;1;0;0;-150;-0,15;165;0,132524798200875;-80;-0,0642544476125457
4;ExitLong;Stop Loss;1/2/19;8:22:00 PM;6225,25;1;;;;;;;;
5;EntryLong;Enter;1/2/19;10:54:00 PM;6228,75;1;0;0;-150;-0,15;175;0,140477623921333;-15;-0,0120409391932571
6;ExitLong;Stop Loss;1/2/19;11:11:00 PM;6228,75;1;;;;;;;;
7;EntryLong;Enter;1/3/19;12:40:00 AM;6210;1;-150;-0,120772946859903;-300;-0,3;115;0,0925925925925926;-150;-0,120772946859903
8;ExitLong;Stop Loss;1/3/19;1:14:00 AM;6202,5;1;;;;;;;;
9;EntryLong;Enter;1/3/19;3:55:00 AM;6203;1;0;0;-300;-0,3;295;0,23778816701596;-95;-0,0765758503949702
10;ExitLong;Stop Loss;1/3/19;4:36:00 AM;6203;1;;;;;;;;
11;EntryLong;Enter;1/3/19;5:36:00 AM;6194,25;1;0;0;-300;-0,3;385;0,310772087016184;-20;-0,0161440045203213
12;ExitLong;Stop Loss;1/3/19;6:02:00 AM;6194,25;1;;;;;;;;
13;EntryLong;Enter;1/3/19;6:02:00 AM;6193,25;1;1320;1,0656763411779;1020;1,02;1590;1,28365559278246;-5;-0,00403665280749203
14;ExitLong;Exit By ATR;1/3/19;9:08:00 AM;6259,25;1;;;;;;;;
15;EntryLong;Enter;1/3/19;6:01:00 PM;6165,25;1;110;0,0892096833056243;1130;1,13;370;0,300068934755282;0;0
16;ExitLong;Stop Loss;1/3/19;6:51:00 PM;6170,75;1;;;;;;;;
17;EntryLong;Enter;1/3/19;6:51:00 PM;6170,25;1;-150;-0,121550990640574;980;0,98;15;0,0121550990640574;-150;-0,121550990640574
18;ExitLong;Stop Loss;1/3/19;6:51:00 PM;6162,75;1;;;;;;;;
19;EntryLong;Enter;1/3/19;7:52:00 PM;6140,75;1;2020;1,64475023409193;3000;3;2400;1,95415869397061;-15;-0,0122134918373163
20;ExitLong;Exit By ATR;1/4/19;3:13:00 AM;6241,75;1;;;;;;;;
21;EntryLong;Enter;1/4/19;4:22:00 AM;6235;1;600;0,481154771451484;3600;3,6;880;0,705693664795509;-15;-0,0120288692862871
22;ExitLong;Exit By ATR;1/4/19;6:04:00 AM;6265;1;;;;;;;;
23;EntryLong;Enter;1/4/19;6:05:00 AM;6262,75;1;140;0,111771985150293;3740;3,74;470;0,375234521575985;0;0
24;ExitLong;Stop Loss;1/4/19;7:04:00 AM;6269,75;1;;;;;;;;
25;EntryLong;Enter;1/6/19;6:37:00 PM;6441,5;1;320;0,248389350306606;4060;4,06;1080;0,838314057284794;-10;-0,00776216719708142
26;ExitLong;Stop Loss;1/6/19;8:55:00 PM;6457,5;1;;;;;;;;
27;EntryLong;Enter;1/6/19;9:12:00 PM;6458,25;1;-150;-0,116130530716525;3910;3,91;135;0,104517477644873;-150;-0,116130530716525
28;ExitLong;Stop Loss;1/6/19;10:07:00 PM;6450,75;1;;;;;;;;
29;EntryLong;Enter;1/7/19;3:03:00 AM;6455;1;-150;-0,116189000774593;3760;3,76;30;0,0232378001549187;-150;-0,116189000774593
30;ExitLong;Stop Loss;1/7/19;3:06:00 AM;6447,5;1;;;;;;;;
31;EntryLong;Enter;1/7/19;3:37:00 AM;6443,5;1;-150;-0,116396368433305;3610;3,61;85;0,0659579421122061;-150;-0,116396368433305
32;ExitLong;Stop Loss;1/7/19;3:49:00 AM;6436;1;;;;;;;;
33;EntryLong;Enter;1/7/19;6:02:00 AM;6421;1;-150;-0,116804236100296;3460;3,46;35;0,0272543217567357;-150;-0,116804236100296
34;ExitLong;Stop Loss;1/7/19;6:12:00 AM;6413,5;1;;;;;;;;
35;EntryLong;Enter;1/7/19;8:46:00 AM;6420,25;1;215;0,167438962657217;3675;3,675;720;0,560725828433472;-105;-0,081772516646548
36;ExitLong;Stop Loss;1/7/19;9:36:00 AM;6431;1;;;;;;;;
37;EntryLong;Enter;1/7/19;1:24:00 PM;6521,75;1;-150;-0,114999808333653;3525;3,525;180;0,137999770000383;-150;-0,114999808333653
38;ExitLong;Stop Loss;1/7/19;1:48:00 PM;6514,25;1;;;;;;;;
39;EntryLong;Enter;1/7/19;6:09:00 PM;6501,25;1;-150;-0,115362430301865;3375;3,375;20;0,015381657373582;-150;-0,115362430301865
40;ExitLong;Stop Loss;1/7/19;6:11:00 PM;6493,75;1;;;;;;;;
41;EntryLong;Enter;1/7/19;6:53:00 PM;6498;1;180;0,138504155124654;3555;3,555;400;0,307787011388119;-100;-0,0769467528470299
42;ExitLong;Exit By ATR;1/7/19;8:14:00 PM;6507;1;;;;;;;;
43;EntryLong;Enter;1/7/19;10:33:00 PM;6520,5;1;0;0;3555;3,555;105;0,0805152979066023;-110;-0,0843493597116786
44;ExitLong;Stop Loss;1/7/19;11:46:00 PM;6520,5;1;;;;;;;;
45;EntryLong;Enter;1/8/19;1:26:00 AM;6508;1;85;0,0653042409342348;3640;3,64;290;0,22280270436386;-115;-0,0883527965580824
46;ExitLong;Stop Loss;1/8/19;2:01:00 AM;6512,25;1;;;;;;;;
47;EntryLong;Enter;1/8/19;2:22:00 AM;6516,25;1;-150;-0,115096873201611;3490;3,49;50;0,0383656244005371;-150;-0,115096873201611
48;ExitLong;Stop Loss;1/8/19;2:39:00 AM;6508,75;1;;;;;;;;
49;EntryLong;Enter;1/8/19;4:22:00 AM;6534,25;1;-150;-0,114779814056701;3340;3,34;115;0,0879978574434709;-150;-0,114779814056701
50;ExitLong;Stop Loss;1/8/19;4:51:00 AM;6526,75;1;;;;;;;;
51;EntryLong;Enter;1/8/19;7:44:00 AM;6542,5;1;-150;-0,11463507833397;3190;3,19;125;0,0955292319449752;-150;-0,11463507833397
52;ExitLong;Stop Loss;1/8/19;7:57:00 AM;6535;1;;;;;;;;
53;EntryLong;Enter;1/8/19;12:49:00 PM;6523,25;1;-150;-0,11497336450389;3040;3,04;25;0,019162227417315;-150;-0,11497336450389
54;ExitLong;Stop Loss;1/8/19;12:51:00 PM;6515,75;1;;;;;;;;
55;EntryLong;Enter;1/8/19;1:46:00 PM;6532,5;1;360;0,275545350172216;3400;3,4;730;0,558744737849216;-110;-0,0841944125526215
56;ExitLong;Exit By ATR;1/8/19;3:08:00 PM;6550,5;1;;;;;;;;
57;EntryLong;Enter;1/8/19;3:51:00 PM;6556,25;1;-190;-0,144899904671115;3210;3,21;235;0,179218303145853;-190;-0,144899904671115
58;ExitLong;Stop Loss;1/8/19;6:01:00 PM;6546,75;1;;;;;;;;
59;EntryLong;Enter;1/8/19;7:55:00 PM;6571,5;1;225;0,171193791371833;3435;3,435;760;0,578254584189302;-90;-0,0684775165487332
60;ExitLong;Stop Loss;1/9/19;1:17:00 AM;6582,75;1;;;;;;;;
61;EntryLong;Enter;1/9/19;2:32:00 AM;6575,5;1;-150;-0,114059767318075;3285;3,285;65;0,0494258991711657;-150;-0,114059767318075
62;ExitLong;Stop Loss;1/9/19;2:43:00 AM;6568;1;;;;;;;;
63;EntryLong;Enter;1/9/19;4:50:00 AM;6589,5;1;-150;-0,113817436831323;3135;3,135;30;0,0227634873662645;-150;-0,113817436831323
64;ExitLong;Stop Loss;1/9/19;5:02:00 AM;6582;1;;;;;;;;
65;EntryLong;Enter;1/9/19;5:02:00 AM;6582,25;1;0;0;3135;3,135;175;0,132933267499715;-5;-0,00379809335713472
66;ExitLong;Stop Loss;1/9/19;5:21:00 AM;6582,25;1;;;;;;;;
67;EntryLong;Enter;1/9/19;6:11:00 AM;6579,75;1;0;0;3135;3,135;160;0,121585166609674;-35;-0,0265967551958661
68;ExitLong;Stop Loss;1/9/19;6:21:00 AM;6579,75;1;;;;;;;;
69;EntryLong;Enter;1/9/19;8:46:00 AM;6587,25;1;0;0;3135;3,135;145;0,110061102888155;-35;-0,026566473110934
70;ExitLong;Stop Loss;1/9/19;9:02:00 AM;6587,25;1;;;;;;;;
