Order #;Type;Signal;Date;Time;Price;Contracts;Profit ($);Profit (%);Cum. Profit ($);Cum. Profit (%);Run-up ($);Run-up (%);Drawdown ($);Drawdown (%)
1;EntryLong;Enter1;10/1/20;10:25:00 AM;1904,5;1;770;0,404305592018903;770;0,77;770;0,404305592018903;-210;-0,110265161459701
2;ExitLong;Profit Target;10/1/20;11:05:00 AM;1912,2;1;;;;;;;;
3;EntryShort;Enter1;10/5/20;11:00:00 AM;1921,8;1;-310;-0,161307107919659;460;0,46;0;0;-310;-0,161307107919659
4;ExitShort;Stop Loss;10/5/20;11:00:00 AM;1924,9;1;;;;;;;;
5;EntryShort;Enter1;10/5/20;11:05:00 AM;1922;1;850;0,442247658688866;1310;1,31;860;0,447450572320499;-80;-0,0416233090530697
6;ExitShort;Exit Short;10/6/20;3:45:00 AM;1913,5;1;;;;;;;;
7;EntryLong;Enter1;10/6/20;3:50:00 AM;1915,5;1;-230;-0,120073087966588;1080;1,08;60;0,0313234142521535;-230;-0,120073087966588
8;ExitLong;Stop Loss;10/6/20;4:30:00 AM;1913,2;1;;;;;;;;
9;EntryShort;Enter1;10/6/20;8:25:00 AM;1922,9;1;-300;-0,156014353320505;780;0,78;430;0,223620573092725;-300;-0,156014353320505
10;ExitShort;Stop Loss;10/6/20;9:35:00 AM;1925,9;1;;;;;;;;
11;EntryShort;Enter1;10/8/20;9:10:00 AM;1902;1;-300;-0,157728706624606;480;0,48;340;0,17875920084122;-300;-0,157728706624606
12;ExitShort;Stop Loss;10/8/20;9:55:00 AM;1905;1;;;;;;;;
13;EntryShort;Enter1;10/13/20;5:30:00 AM;1927,7;1;720;0,373502100949318;1200;1,2;720;0,373502100949318;-190;-0,0985630544171811
14;ExitShort;Profit Target;10/13/20;8:45:00 AM;1920,5;1;;;;;;;;
15;EntryLong;Enter1;10/14/20;4:30:00 PM;1904,8;1;-200;-0,104997900041999;1000;1;210;0,110247795044099;-200;-0,104997900041999
16;ExitLong;Stop Loss;10/14/20;6:50:00 PM;1902,8;1;;;;;;;;
17;EntryLong;Enter1;10/14/20;9:25:00 PM;1898,1;1;900;0,474158368895211;1900;1,9;900;0,474158368895211;-140;-0,0737579684948106
18;ExitLong;Profit Target;10/15/20;3:45:00 AM;1907,1;1;;;;;;;;
