Order #;Type;Signal;Date;Time;Price;Contracts;Profit ($);Profit (%);Cum. Profit ($);Cum. Profit (%);Run-up ($);Run-up (%);Drawdown ($);Drawdown (%)
1;EntryLong;Enter2;10/1/20;12:35:00 AM;3367,5;1;-112,5;-0,066815144766147;-112,5;-0,1125;12,5;0,00742390497401633;-112,5;-0,066815144766147
2;ExitLong;Stop Loss;10/1/20;12:40:00 AM;3365,25;1;;;;;;;;
3;EntryLong;Enter3;10/1/20;12:40:00 AM;3367;1;312,5;0,185625185625186;200;0,2;312,5;0,185625185625186;-25;-0,0148500148500148
4;ExitLong;Profit Target;10/1/20;1:05:00 AM;3373,25;1;;;;;;;;
5;EntryLong;Enter2;10/1/20;3:10:00 AM;3376,75;1;-187,5;-0,1110535278004;12,5;0,0125;250;0,148071370400533;-187,5;-0,1110535278004
6;ExitLong;Stop Loss;10/1/20;3:35:00 AM;3373;1;;;;;;;;
7;EntryLong;Enter1;10/1/20;5:30:00 AM;3384,5;1;-312,5;-0,184665386319988;-300;-0,3;175;0,103412616339193;-312,5;-0,184665386319988
8;ExitLong;Stop Loss;10/1/20;7:25:00 AM;3378,25;1;;;;;;;;
9;EntryLong;Enter1;10/1/20;12:55:00 PM;3370,5;1;-250;-0,148345942738466;-550;-0,55;37,5;0,0222518914107699;-250;-0,148345942738466
10;ExitLong;Stop Loss;10/1/20;1:00:00 PM;3365,5;1;;;;;;;;
11;EntryLong;Enter1;10/2/20;12:15:00 PM;3354,25;1;-312,5;-0,186330774390698;-862,5;-0,8625;212,5;0,126704926585675;-312,5;-0,186330774390698
12;ExitLong;Stop Loss;10/2/20;12:35:00 PM;3348;1;;;;;;;;
13;EntryShort;Enter1;10/4/20;5:25:00 PM;3355,25;1;-312,5;-0,18627524029506;-1175;-1,175;175;0,104314134565234;-312,5;-0,18627524029506
14;ExitShort;Stop Loss;10/4/20;7:00:00 PM;3361,5;1;;;;;;;;
15;EntryLong;Enter1;10/5/20;1:45:00 AM;3358,5;1;-225;-0,133988387673068;-1400;-1,4;187,5;0,111656989727557;-225;-0,133988387673068
16;ExitLong;Stop Loss;10/5/20;2:15:00 AM;3354;1;;;;;;;;
17;EntryLong;Enter1;10/5/20;4:05:00 AM;3356;1;387,5;0,230929678188319;-1012,5;-1,0125;387,5;0,230929678188319;-112,5;-0,0670441001191895
18;ExitLong;Profit Target;10/5/20;6:05:00 AM;3363,75;1;;;;;;;;
19;EntryLong;Enter2;10/5/20;11:25:00 AM;3385;1;-175;-0,103397341211226;-1187,5;-1,1875;150;0,0886262924667651;-175;-0,103397341211226
20;ExitLong;Stop Loss;10/5/20;12:50:00 PM;3381,5;1;;;;;;;;
21;EntryLong;Enter1;10/5/20;2:45:00 PM;3399;1;-212,5;-0,125036775522212;-1400;-1,4;0;0;-212,5;-0,125036775522212
22;ExitLong;Stop Loss;10/5/20;2:50:00 PM;3394,75;1;;;;;;;;
23;EntryLong;Enter1;10/5/20;3:00:00 PM;3399;1;-250;-0,147102088849662;-1650;-1,65;12,5;0,00735510444248308;-250;-0,147102088849662
24;ExitLong;Stop Loss;10/5/20;3:05:00 PM;3394;1;;;;;;;;
25;EntryLong;Enter1;10/5/20;8:20:00 PM;3390,75;1;-312,5;-0,18432500184325;-1962,5;-1,9625;425;0,25068200250682;-312,5;-0,18432500184325
26;ExitLong;Stop Loss;10/6/20;3:05:00 AM;3384,5;1;;;;;;;;
27;EntryLong;Enter1;10/6/20;5:15:00 AM;3385,75;1;837,5;0,49472051982574;-1125;-1,125;837,5;0,49472051982574;-150;-0,0886066602672968
28;ExitLong;Profit Target;10/6/20;7:35:00 AM;3402,5;1;;;;;;;;
29;EntryLong;Enter1;10/6/20;9:45:00 AM;3396,75;1;-312,5;-0,183999411201884;-1437,5;-1,4375;337,5;0,198719364098035;-312,5;-0,183999411201884
30;ExitLong;Stop Loss;10/6/20;10:30:00 AM;3390,5;1;;;;;;;;
31;EntryLong;Enter1;10/6/20;3:10:00 PM;3349,75;1;-312,5;-0,186581088140906;-1750;-1,75;300;0,17911784461527;-312,5;-0,186581088140906
32;ExitLong;Stop Loss;10/6/20;3:40:00 PM;3343,5;1;;;;;;;;
33;EntryLong;Enter1;10/6/20;8:20:00 PM;3347,25;1;725;0,433191425797296;-1025;-1,025;725;0,433191425797296;-200;-0,119501082978565
34;ExitLong;Profit Target;10/7/20;12:40:00 AM;3361,75;1;;;;;;;;
35;EntryLong;Enter1;10/7/20;1:45:00 AM;3368;1;800;0,475059382422803;-225;-0,225;800;0,475059382422803;-137,5;-0,0816508313539192
36;ExitLong;Profit Target;10/7/20;8:00:00 AM;3384;1;;;;;;;;
37;EntryLong;Enter2;10/7/20;8:25:00 AM;3381;1;650;0,384501626737652;425;0,425;650;0,384501626737652;-62,5;-0,0369713102632357
38;ExitLong;Profit Target;10/7/20;8:45:00 AM;3394;1;;;;;;;;
