Order #;Type;Signal;Date;Time;Price;Contracts;Profit ($);Profit (%);Cum. Profit ($);Cum. Profit (%);Run-up ($);Run-up (%);Drawdown ($);Drawdown (%)
1;EntryLong;Enter1;8/20/20;1:05:00 AM;3354,25;1;462,5;0,275769546098234;462,5;0,4625;462,5;0,275769546098234;-62,5;-0,0372661548781397
2;ExitLong;Profit Target;8/20/20;2:40:00 AM;3363,5;1;;;;;;;;
3;EntryLong;Enter1;8/20/20;10:35:00 AM;3371,25;1;687,5;0,407860585836114;1150;1,15;687,5;0,407860585836114;-37,5;-0,0222469410456062
4;ExitLong;Profit Target;8/20/20;2:05:00 PM;3385;1;;;;;;;;
5;EntryLong;Enter1;8/20/20;2:50:00 PM;3383;1;-312,5;-0,184747265740467;837,5;0,8375;525;0,310375406443985;-312,5;-0,184747265740467
6;ExitLong;Stop Loss;8/21/20;3:35:00 AM;3376,75;1;;;;;;;;
7;EntryLong;Enter1;8/21/20;11:10:00 AM;3382,25;1;650;0,384359523985513;1487,5;1,4875;650;0,384359523985513;0;0
8;ExitLong;Profit Target;8/21/20;2:05:00 PM;3395,25;1;;;;;;;;
9;EntryLong;Enter1;8/23/20;7:10:00 PM;3396,75;1;500;0,294399057923015;1987,5;1,9875;500;0,294399057923015;-25;-0,0147199528961507
10;ExitLong;Profit Target;8/24/20;1:10:00 AM;3406,75;1;;;;;;;;
11;EntryLong;Enter2;8/24/20;11:50:00 AM;3417,25;1;-125;-0,0731582412758797;1862,5;1,8625;125;0,0731582412758797;-125;-0,0731582412758797
12;ExitLong;Stop Loss;8/24/20;12:50:00 PM;3414,75;1;;;;;;;;
13;EntryLong;Enter3;8/25/20;8:00:00 AM;3440,5;1;-125;-0,0726638569975294;1737,5;1,7375;50;0,0290655427990118;-125;-0,0726638569975294
14;ExitLong;Stop Loss;8/25/20;8:20:00 AM;3438;1;;;;;;;;
15;EntryLong;Enter1;8/25/20;10:40:00 PM;3441,5;1;-87,5;-0,0508499200929827;1650;1,65;150;0,0871712915879704;-87,5;-0,0508499200929827
16;ExitLong;Stop Loss;8/26/20;1:10:00 AM;3439,75;1;;;;;;;;
17;EntryLong;Enter1;8/26/20;1:45:00 AM;3443;1;-237,5;-0,137961080453093;1412,5;1,4125;12,5;0,00726110949753122;-237,5;-0,137961080453093
18;ExitLong;Stop Loss;8/26/20;2:05:00 AM;3438,25;1;;;;;;;;
19;EntryLong;Enter1;8/26/20;2:20:00 AM;3442,75;1;912,5;0,530099484423789;2325;2,325;912,5;0,530099484423789;-125;-0,0726163677292862
20;ExitLong;Profit Target;8/26/20;11:05:00 AM;3461;1;;;;;;;;
21;EntryLong;Enter1;8/27/20;2:50:00 AM;3475,5;1;-262,5;-0,151057401812689;2062,5;2,0625;75;0,0431592576607682;-262,5;-0,151057401812689
22;ExitLong;Stop Loss;8/27/20;4:20:00 AM;3470,25;1;;;;;;;;
23;EntryLong;Enter1;8/27/20;7:15:00 AM;3472;1;237,5;0,136808755760369;2300;2,3;237,5;0,136808755760369;0;0
24;ExitLong;Profit Target;8/27/20;7:35:00 AM;3476,75;1;;;;;;;;
