Order #;Type;Signal;Date;Time;Price;Contracts;Profit ($);Profit (%);Cum. Profit ($);Cum. Profit (%);Run-up ($);Run-up (%);Drawdown ($);Drawdown (%)
1;EntryLong;Enter1;8/20/20;1:05:00 AM;3354,25;1;250;0,149064619512559;250;0,25;250;0,149064619512559;-25;-0,0149064619512559
2;ExitLong;Profit Target;8/20/20;1:35:00 AM;3359,25;1;;;;;;;;
3;EntryLong;Enter1;8/20/20;10:35:00 AM;3371,25;1;425;0,252131998516871;675;0,675;425;0,252131998516871;-37,5;-0,0222469410456062
4;ExitLong;Profit Target;8/20/20;1:25:00 PM;3379,75;1;;;;;;;;
5;EntryLong;Enter1;8/20/20;2:50:00 PM;3383;1;275;0,162577593851611;950;0,95;275;0,162577593851611;-150;-0,0886786875554242
6;ExitLong;Profit Target;8/20/20;6:55:00 PM;3388,5;1;;;;;;;;
7;EntryLong;Enter2;8/20/20;9:05:00 PM;3387,5;1;-162,5;-0,0959409594095941;787,5;0,7875;175;0,103321033210332;-162,5;-0,0959409594095941
8;ExitLong;Stop Loss;8/21/20;1:35:00 AM;3384,25;1;;;;;;;;
9;EntryLong;Enter2;8/21/20;4:05:00 AM;3378,25;1;-150;-0,0888033745282321;637,5;0,6375;225;0,133205061792348;-150;-0,0888033745282321
10;ExitLong;Stop Loss;8/21/20;5:45:00 AM;3375,25;1;;;;;;;;
11;EntryLong;Enter1;8/21/20;11:10:00 AM;3382,25;1;462,5;0,273486584374307;1100;1,1;462,5;0,273486584374307;0;0
12;ExitLong;Profit Target;8/21/20;1:35:00 PM;3391,5;1;;;;;;;;
13;EntryLong;Enter1;8/23/20;7:10:00 PM;3396,75;1;500;0,294399057923015;1600;1,6;500;0,294399057923015;-25;-0,0147199528961507
14;ExitLong;Profit Target;8/24/20;1:10:00 AM;3406,75;1;;;;;;;;
15;EntryLong;Enter3;8/25/20;12:15:00 AM;3442,5;1;-75;-0,0435729847494553;1525;1,525;37,5;0,0217864923747277;-75;-0,0435729847494553
16;ExitLong;Stop Loss;8/25/20;12:35:00 AM;3441;1;;;;;;;;
17;EntryLong;Enter3;8/25/20;12:35:00 AM;3442,5;1;-87,5;-0,0508351488743646;1437,5;1,4375;25;0,0145243282498184;-87,5;-0,0508351488743646
18;ExitLong;Stop Loss;8/25/20;1:00:00 AM;3440,75;1;;;;;;;;
19;EntryLong;Enter1;8/26/20;1:45:00 AM;3443;1;-237,5;-0,137961080453093;1200;1,2;12,5;0,00726110949753122;-237,5;-0,137961080453093
20;ExitLong;Stop Loss;8/26/20;2:05:00 AM;3438,25;1;;;;;;;;
21;EntryLong;Enter1;8/26/20;2:20:00 AM;3442,75;1;200;0,116186188366858;1400;1,4;200;0,116186188366858;-125;-0,0726163677292862
22;ExitLong;Profit Target;8/26/20;3:40:00 AM;3446,75;1;;;;;;;;
23;EntryLong;Enter1;8/27/20;4:40:00 AM;3471,25;1;425;0,244868563197695;1825;1,825;425;0,244868563197695;-50;-0,0288080662585524
24;ExitLong;Profit Target;8/27/20;8:10:00 AM;3479,75;1;;;;;;;;
25;EntryLong;Enter1;8/28/20;9:45:00 AM;3487,5;1;-312,5;-0,17921146953405;1512,5;1,5125;75;0,043010752688172;-312,5;-0,17921146953405
26;ExitLong;Stop Loss;8/28/20;10:00:00 AM;3481,25;1;;;;;;;;
27;EntryLong;Enter1;8/28/20;10:15:00 AM;3486,75;1;912,5;0,523410052341005;2425;2,425;912,5;0,523410052341005;-12,5;-0,00717000071700007
28;ExitLong;Profit Target;8/28/20;2:20:00 PM;3505;1;;;;;;;;
29;EntryLong;Enter1;8/31/20;2:45:00 PM;3504;1;-312,5;-0,178367579908676;2112,5;2,1125;450;0,256849315068493;-312,5;-0,178367579908676
30;ExitLong;Stop Loss;8/31/20;3:00:00 PM;3497,75;1;;;;;;;;
31;EntryLong;Enter2;8/31/20;11:00:00 PM;3502,25;1;312,5;0,178456706403027;2425;2,425;312,5;0,178456706403027;-25;-0,0142765365122421
32;ExitLong;Profit Target;9/1/20;1:45:00 AM;3508,5;1;;;;;;;;
33;EntryLong;Enter2;9/2/20;6:20:00 AM;3550,25;1;-125;-0,0704175762270263;2300;2,3;37,5;0,0211252728681079;-125;-0,0704175762270263
34;ExitLong;Stop Loss;9/2/20;7:00:00 AM;3547,75;1;;;;;;;;
35;EntryLong;Enter1;9/3/20;1:10:00 AM;3570,75;1;537,5;0,301057200868165;2837,5;2,8375;537,5;0,301057200868165;-50;-0,0280053210109921
36;ExitLong;Profit Target;9/3/20;2:25:00 AM;3581,5;1;;;;;;;;
37;EntryLong;Enter1;9/7/20;2:00:00 AM;3398;1;875;0,515008828722778;3712,5;3,7125;875;0,515008828722778;-162,5;-0,0956444967628016
38;ExitLong;Profit Target;9/7/20;3:25:00 AM;3415,5;1;;;;;;;;
39;EntryLong;Enter1;9/7/20;8:30:00 PM;3435,5;1;-312,5;-0,181924028525688;3400;3,4;175;0,101877455974385;-312,5;-0,181924028525688
40;ExitLong;Stop Loss;9/7/20;9:55:00 PM;3429,25;1;;;;;;;;
41;EntryLong;Enter1;9/9/20;4:25:00 AM;3356,5;1;912,5;0,543721138090273;4312,5;4,3125;912,5;0,543721138090273;-300;-0,178757634440638
42;ExitLong;Profit Target;9/9/20;8:15:00 AM;3374,75;1;;;;;;;;
43;EntryLong;Enter1;9/14/20;12:25:00 AM;3361,25;1;-75;-0,0446262551134251;4237,5;4,2375;50;0,0297508367422834;-75;-0,0446262551134251
44;ExitLong;Stop Loss;9/14/20;12:35:00 AM;3359,75;1;;;;;;;;
45;EntryLong;Enter1;9/14/20;12:40:00 AM;3361,25;1;350;0,208255857195984;4587,5;4,5875;350;0,208255857195984;0;0
46;ExitLong;Profit Target;9/14/20;12:55:00 AM;3368,25;1;;;;;;;;
47;EntryLong;Enter1;9/15/20;3:05:00 AM;3383,75;1;262,5;0,155153306243074;4850;4,85;262,5;0,155153306243074;-137,5;-0,0812707794606576
48;ExitLong;Profit Target;9/15/20;3:55:00 AM;3389;1;;;;;;;;
49;EntryLong;Enter2;9/16/20;12:35:00 AM;3398,5;1;-112,5;-0,0662056789760188;4737,5;4,7375;50;0,0294247462115639;-112,5;-0,0662056789760188
50;ExitLong;Stop Loss;9/16/20;12:45:00 AM;3396,25;1;;;;;;;;
51;EntryLong;Enter1;9/16/20;9:55:00 AM;3398;1;837,5;0,492937021777516;5575;5,575;837,5;0,492937021777516;-250;-0,147145379635079
52;ExitLong;Profit Target;9/16/20;1:20:00 PM;3414,75;1;;;;;;;;
53;EntryLong;Enter2;9/17/20;11:20:00 PM;3343;1;237,5;0,142087944959617;5812,5;5,8125;237,5;0,142087944959617;0;0
54;ExitLong;Profit Target;9/17/20;11:45:00 PM;3347,75;1;;;;;;;;
55;EntryLong;Enter1;9/20/20;9:25:00 PM;3315,25;1;-262,5;-0,158359098107232;5550;5,55;262,5;0,158359098107232;-262,5;-0,158359098107232
56;ExitLong;Stop Loss;9/20/20;10:20:00 PM;3310;1;;;;;;;;
57;EntryLong;Enter1;9/21/20;1:05:00 AM;3298,25;1;-312,5;-0,189494428863791;5237,5;5,2375;387,5;0,234973091791101;-312,5;-0,189494428863791
58;ExitLong;Stop Loss;9/21/20;2:15:00 AM;3292;1;;;;;;;;
59;EntryLong;Enter2;9/21/20;5:25:00 PM;3274,75;1;525;0,320635162989541;5762,5;5,7625;525;0,320635162989541;-100;-0,0610733643789602
60;ExitLong;Profit Target;9/21/20;7:10:00 PM;3285,25;1;;;;;;;;
61;EntryLong;Enter1;9/23/20;10:00:00 PM;3231;1;-312,5;-0,193438563912102;5450;5,45;125;0,0773754255648406;-312,5;-0,193438563912102
62;ExitLong;Stop Loss;9/23/20;11:35:00 PM;3224,75;1;;;;;;;;
63;EntryLong;Enter1;9/24/20;12:10:00 AM;3216;1;712,5;0,443097014925373;6162,5;6,1625;712,5;0,443097014925373;-287,5;-0,178793532338308
64;ExitLong;Profit Target;9/24/20;3:00:00 AM;3230,25;1;;;;;;;;
65;EntryLong;Enter1;9/25/20;1:50:00 AM;3248;1;-312,5;-0,192426108374384;5850;5,85;100;0,061576354679803;-312,5;-0,192426108374384
66;ExitLong;Stop Loss;9/25/20;2:10:00 AM;3241,75;1;;;;;;;;
67;EntryLong;Enter1;9/28/20;3:00:00 PM;3342;1;350;0,209455415918612;6200;6,2;350;0,209455415918612;-262,5;-0,157091561938959
68;ExitLong;Profit Target;9/28/20;3:45:00 PM;3349;1;;;;;;;;
69;EntryLong;Enter1;9/29/20;2:35:00 AM;3340,25;1;-312,5;-0,187111743132999;5887,5;5,8875;100;0,0598757578025597;-312,5;-0,187111743132999
70;ExitLong;Stop Loss;9/29/20;3:05:00 AM;3334;1;;;;;;;;
71;EntryLong;Enter1;9/30/20;4:50:00 AM;3302,25;1;625;0,378529790294496;6512,5;6,5125;625;0,378529790294496;-100;-0,0605647664471194
72;ExitLong;Profit Target;9/30/20;5:35:00 AM;3314,75;1;;;;;;;;
73;EntryLong;Enter1;9/30/20;7:10:00 PM;3360,75;1;-275;-0,16365394629175;6237,5;6,2375;137,5;0,0818269731458752;-275;-0,16365394629175
74;ExitLong;Stop Loss;9/30/20;8:00:00 PM;3355,25;1;;;;;;;;
75;EntryLong;Enter2;9/30/20;8:15:00 PM;3360,25;1;412,5;0,245517446618555;6650;6,65;412,5;0,245517446618555;0;0
