Order #;Type;Signal;Date;Time;Price;Contracts;Profit ($);Profit (%);Cum. Profit ($);Cum. Profit (%);Run-up ($);Run-up (%);Drawdown ($);Drawdown (%)
1;EntryShort;Enter1;5/11/17;11:15:00 AM;48,06;1;50;0,104036620890553;50;0,05;350;0,728256346233874;-110;-0,228880565959218
2;ExitShort;$ Trailing Stop;5/12/17;2:20:00 AM;48,01;1;;;;;;;;
3;EntryLong;Enter1;5/12/17;11:20:00 AM;47,54;1;1610;3,38662179217501;1660;1,66;1910;4,01766933108961;-60;-0,12620950778292
4;ExitLong;$ Trailing Stop;5/15/17;6:30:00 AM;49,15;1;;;;;;;;
5;EntryShort;Enter1;5/16/17;9:35:00 AM;49,27;1;430;0,872742033691902;2090;2,09;660;1,33955754008524;0;0
6;ExitShort;Enter1;5/16/17;11:15:00 AM;48,84;1;;;;;;;;
7;EntryLong;Enter1;5/16/17;11:15:00 AM;48,84;1;-190;-0,389025389025389;1900;1,9;110;0,225225225225225;-190;-0,389025389025389
8;ExitLong;$ Trailing Stop;5/16/17;2:25:00 PM;48,65;1;;;;;;;;
9;EntryShort;Enter1;5/17/17;11:00:00 AM;49,2;1;-170;-0,345528455284553;1730;1,73;130;0,264227642276423;-170;-0,345528455284553
10;ExitShort;$ Trailing Stop;5/17/17;11:35:00 AM;49,37;1;;;;;;;;
11;EntryShort;Enter2;5/17/17;11:40:00 AM;49,26;1;-10;-0,0203004466098254;1720;1,72;290;0,588712951684937;-110;-0,22330491270808
12;ExitShort;$ Trailing Stop;5/17/17;2:10:00 PM;49,27;1;;;;;;;;
13;EntryLong;Enter1;5/18/17;1:45:00 AM;49,21;1;70;0,142247510668563;1790;1,79;150;0,304816094289778;0;0
14;ExitLong;Enter1;5/18/17;2:30:00 AM;49,28;1;;;;;;;;
15;EntryShort;Enter1;5/18/17;2:30:00 AM;49,28;1;-80;-0,162337662337662;1710;1,71;100;0,202922077922078;-80;-0,162337662337662
16;ExitShort;Stop Loss;5/18/17;3:20:00 AM;49,36;1;;;;;;;;
17;EntryShort;Enter2;5/18/17;3:30:00 AM;49,29;1;610;1,23757354432948;2320;2,32;910;1,84621627104889;-70;-0,14201663623453
18;ExitShort;$ Trailing Stop;5/18/17;7:25:00 AM;48,68;1;;;;;;;;
19;EntryShort;Enter1;5/22/17;9:00:00 AM;51,13;1;80;0,156463915509486;2400;2,4;380;0,743203598670057;0;0
20;ExitShort;$ Trailing Stop;5/22/17;9:05:00 AM;51,05;1;;;;;;;;
21;EntryShort;Enter1;5/22/17;9:05:00 AM;51,13;1;-30;-0,0586739683160571;2370;2,37;270;0,528065714844514;-30;-0,0586739683160571
22;ExitShort;$ Trailing Stop;5/22/17;10:10:00 AM;51,16;1;;;;;;;;
23;EntryShort;Enter1;5/22/17;9:00:00 PM;51,14;1;150;0,293312475557294;2520;2,52;360;0,703949941337505;-30;-0,0586624951114587
24;ExitShort;Enter1;5/22/17;10:55:00 PM;50,99;1;;;;;;;;
25;EntryLong;Enter1;5/22/17;10:55:00 PM;50,99;1;-210;-0,411845459894097;2310;2,31;40;0,0784467542655423;-210;-0,411845459894097
26;ExitLong;Stop Loss;5/23/17;2:40:00 AM;50,78;1;;;;;;;;
27;EntryLong;Enter1;5/23/17;4:05:00 AM;50,76;1;-150;-0,295508274231678;2160;2,16;120;0,236406619385343;-150;-0,295508274231678
28;ExitLong;Stop Loss;5/23/17;5:00:00 AM;50,61;1;;;;;;;;
29;EntryLong;Enter1;5/23/17;7:00:00 AM;50,77;1;280;0,551506795351586;2440;2,44;580;1,14240693322828;-10;-0,0196966712625566
30;ExitLong;$ Trailing Stop;5/23/17;10:10:00 AM;51,05;1;;;;;;;;
31;EntryShort;Enter1;5/23/17;11:30:00 AM;51,31;1;-130;-0,253361917754824;2310;2,31;170;0,331319430910154;-130;-0,253361917754824
32;ExitShort;$ Trailing Stop;5/23/17;2:10:00 PM;51,44;1;;;;;;;;
33;EntryShort;Enter1;5/24/17;4:50:00 AM;51,71;1;140;0,270740669116225;2450;2,45;340;0,657513053567975;-120;-0,23206343067105
34;ExitShort;Enter1;5/24/17;7:30:00 AM;51,57;1;;;;;;;;
35;EntryLong;Enter1;5/24/17;7:30:00 AM;51,57;1;-200;-0,387822377351173;2250;2,25;0;0;-200;-0,387822377351173
36;ExitLong;Stop Loss;5/24/17;7:50:00 AM;51,37;1;;;;;;;;
37;EntryShort;Enter1;5/25/17;4:30:00 AM;51,77;1;1300;2,51110681862082;3550;3,55;1600;3,09059300753332;0;0
38;ExitShort;$ Trailing Stop;5/25/17;4:35:00 AM;50,47;1;;;;;;;;
39;EntryLong;Enter1;5/26/17;12:00:00 AM;48,47;1;470;0,969671962038374;4020;4,02;770;1,58861151227563;0;0
40;ExitLong;$ Trailing Stop;5/26/17;4:50:00 AM;48,94;1;;;;;;;;
41;EntryLong;Enter1;5/30/17;4:35:00 AM;49,58;1;-110;-0,221863654699476;3910;3,91;190;0,383219039935458;-110;-0,221863654699476
42;ExitLong;$ Trailing Stop;5/30/17;7:35:00 AM;49,47;1;;;;;;;;
43;EntryShort;Enter1;6/1/17;4:10:00 AM;48,84;1;-190;-0,389025389025389;3720;3,72;10;0,0204750204750205;-190;-0,389025389025389
44;ExitShort;Stop Loss;6/1/17;4:30:00 AM;49,03;1;;;;;;;;
45;EntryShort;Enter2;6/1/17;4:50:00 AM;48,91;1;420;0,85872009813944;4140;4,14;720;1,47209159681047;-90;-0,184011449601308
46;ExitShort;$ Trailing Stop;6/1/17;8:05:00 AM;48,49;1;;;;;;;;
47;EntryShort;Enter1;6/1/17;11:40:00 AM;49,01;1;20;0,0408079983676801;4160;4,16;320;0,652927973882881;0;0
48;ExitShort;$ Trailing Stop;6/1/17;11:55:00 AM;48,99;1;;;;;;;;
49;EntryShort;Enter1;6/1/17;11:55:00 AM;49,01;1;790;1,61191593552336;4950;4,95;1020;2,08120791675168;-160;-0,326463986941441
50;ExitShort;Enter1;6/1/17;3:20:00 PM;48,22;1;;;;;;;;
51;EntryLong;Enter1;6/1/17;3:20:00 PM;48,22;1;-230;-0,476980506014102;4720;4,72;40;0,0829531314807134;-230;-0,476980506014102
52;ExitLong;Stop Loss;6/1/17;4:00:00 PM;47,99;1;;;;;;;;
53;EntryShort;Enter2;6/5/17;8:25:00 PM;47,51;1;270;0,568301410229425;4990;4,99;570;1,19974742159545;-60;-0,126289202273206
54;ExitShort;$ Trailing Stop;6/6/17;12:40:00 AM;47,24;1;;;;;;;;
55;EntryShort;Enter1;6/6/17;2:35:00 AM;47,5;1;130;0,273684210526316;5120;5,12;430;0,905263157894737;-180;-0,378947368421053
56;ExitShort;$ Trailing Stop;6/6/17;4:45:00 AM;47,37;1;;;;;;;;
57;EntryLong;Enter1;6/7/17;2:35:00 AM;47,94;1;-100;-0,208594075928244;5020;5,02;160;0,33375052148519;-100;-0,208594075928244
58;ExitLong;Stop Loss;6/7/17;3:30:00 AM;47,84;1;;;;;;;;
59;EntryLong;Enter1;6/7/17;3:35:00 AM;47,94;1;-130;-0,271172298706717;4890;4,89;20;0,0417188151856487;-130;-0,271172298706717
60;ExitLong;Stop Loss;6/7/17;4:10:00 AM;47,81;1;;;;;;;;
61;EntryShort;Enter1;6/8/17;3:15:00 AM;46,07;1;-90;-0,195354894725418;4800;4,8;210;0,455828087692642;-90;-0,195354894725418
62;ExitShort;Stop Loss;6/8/17;5:40:00 AM;46,16;1;;;;;;;;
