Order #;Type;Signal;Date;Time;Price;Contracts;Profit ($);Profit (%);Cum. Profit ($);Cum. Profit (%);Run-up ($);Run-up (%);Drawdown ($);Drawdown (%)
1;EntryShort;Enter1;8/20/20;3:50:00 PM;1961,1;1;630;0,321248279027077;630;0,63;630;0,321248279027077;-50;-0,0254958951608791
2;ExitShort;Profit Target;8/20/20;4:55:00 PM;1954,8;1;;;;;;;;
3;EntryLong;Enter1;8/23/20;9:25:00 PM;1940,5;1;670;0,345271837155372;1300;1,3;670;0,345271837155372;-280;-0,144292708064932
4;ExitLong;Profit Target;8/24/20;3:10:00 AM;1947,2;1;;;;;;;;
5;EntryLong;Enter1;8/25/20;5:05:00 AM;1933;1;-300;-0,155199172271081;1000;1;40;0,0206932229694775;-300;-0,155199172271081
6;ExitLong;Stop Loss;8/25/20;5:40:00 AM;1930;1;;;;;;;;
7;EntryLong;Enter1;8/26/20;3:25:00 AM;1921;1;900;0,468505986465383;1900;1,9;900;0,468505986465383;0;0
8;ExitLong;Profit Target;8/26/20;5:00:00 AM;1930;1;;;;;;;;
9;EntryLong;Enter1;8/27/20;3:10:00 AM;1947,1;1;510;0,261927995480458;2410;2,41;510;0,261927995480458;-120;-0,0616301165836372
10;ExitLong;Profit Target;8/27/20;3:40:00 AM;1952,2;1;;;;;;;;
11;EntryLong;Enter1;9/1/20;2:50:00 AM;1993,7;1;-300;-0,150473993078196;2110;2,11;750;0,376184982695491;-300;-0,150473993078196
12;ExitLong;Stop Loss;9/1/20;9:40:00 AM;1990,7;1;;;;;;;;
13;EntryLong;Enter1;9/1/20;3:00:00 PM;1972,1;1;640;0,324527153795446;2750;2,75;640;0,324527153795446;-80;-0,0405658942244308
14;ExitLong;Profit Target;9/1/20;6:35:00 PM;1978,5;1;;;;;;;;
15;EntryLong;Enter1;9/3/20;2:30:00 AM;1939,8;1;-300;-0,154655119084442;2450;2,45;80;0,0412413650891845;-300;-0,154655119084442
16;ExitLong;Stop Loss;9/3/20;2:40:00 AM;1936,8;1;;;;;;;;
17;EntryLong;Enter1;9/8/20;12:05:00 AM;1929,7;1;660;0,342022075970358;3110;3,11;660;0,342022075970358;-50;-0,0259107633310877
18;ExitLong;Profit Target;9/8/20;1:55:00 AM;1936,3;1;;;;;;;;
19;EntryLong;Enter1;9/9/20;7:50:00 AM;1929,2;1;900;0,466514617458014;4010;4,01;900;0,466514617458014;0;0
20;ExitLong;Profit Target;9/9/20;8:30:00 AM;1938,2;1;;;;;;;;
21;EntryLong;Enter1;9/10/20;3:05:00 AM;1952,5;1;-180;-0,0921895006402049;3830;3,83;10;0,00512163892445583;-180;-0,0921895006402049
22;ExitLong;Stop Loss;9/10/20;3:10:00 AM;1950,7;1;;;;;;;;
