Order #;Type;Signal;Date;Time;Price;Contracts;Profit ($);Profit (%);Cum. Profit ($);Cum. Profit (%);Run-up ($);Run-up (%);Drawdown ($);Drawdown (%)
1;EntryLong;Enter1;8/20/20;5:50:00 AM;1935,4;1;-300;-0,155006716957735;-300;-0,3;200;0,103337811305157;-300;-0,155006716957735
2;ExitLong;Stop Loss;8/20/20;6:15:00 AM;1932,4;1;;;;;;;;
3;EntryLong;Enter1;8/20/20;9:00:00 PM;1960,1;1;-300;-0,153053415642059;-600;-0,6;10;0,00510178052140197;-300;-0,153053415642059
4;ExitLong;Stop Loss;8/20/20;9:05:00 PM;1957,1;1;;;;;;;;
5;EntryLong;Enter1;8/21/20;12:05:00 AM;1957,7;1;-170;-0,0868365939623027;-770;-0,77;140;0,0715124891454257;-170;-0,0868365939623027
6;ExitLong;Stop Loss;8/21/20;12:40:00 AM;1956;1;;;;;;;;
7;EntryLong;Enter1;8/21/20;6:55:00 AM;1938,5;1;-300;-0,154758834150116;-1070;-1,07;250;0,128965695125097;-300;-0,154758834150116
8;ExitLong;Stop Loss;8/21/20;7:25:00 AM;1935,5;1;;;;;;;;
9;EntryLong;Enter1;8/21/20;2:20:00 PM;1945,2;1;-290;-0,149084926999794;-1360;-1,36;380;0,195352662965248;-290;-0,149084926999794
10;ExitLong;Stop Loss;8/23/20;6:10:00 PM;1942,3;1;;;;;;;;
11;EntryLong;Enter1;8/24/20;2:05:00 AM;1941,6;1;-290;-0,149361351462711;-1650;-1,65;190;0,0978574371652245;-290;-0,149361351462711
12;ExitLong;Stop Loss;8/24/20;2:30:00 AM;1938,7;1;;;;;;;;
13;EntryLong;Enter1;8/24/20;2:50:00 AM;1941,2;1;900;0,463630743869771;-750;-0,75;900;0,463630743869771;-130;-0,0669688852256336
14;ExitLong;Profit Target;8/24/20;3:15:00 AM;1950,2;1;;;;;;;;
15;EntryLong;Enter1;8/24/20;6:55:00 PM;1934,9;1;-80;-0,0413458059848054;-830;-0,83;80;0,0413458059848054;-80;-0,0413458059848054
16;ExitLong;Stop Loss;8/24/20;7:10:00 PM;1934,1;1;;;;;;;;
17;EntryLong;Enter1;8/24/20;7:15:00 PM;1934,9;1;-130;-0,0671869347253088;-960;-0,96;230;0,118869192206316;-130;-0,0671869347253088
18;ExitLong;Stop Loss;8/24/20;8:05:00 PM;1933,6;1;;;;;;;;
19;EntryLong;Enter1;8/28/20;3:35:00 PM;1972,8;1;-190;-0,0963098134630981;-1150;-1,15;110;0,0557583130575831;-190;-0,0963098134630981
20;ExitLong;Stop Loss;8/28/20;4:05:00 PM;1970,9;1;;;;;;;;
21;EntryLong;Enter1;8/28/20;4:15:00 PM;1972,8;1;780;0,395377128953771;-370;-0,37;780;0,395377128953771;-90;-0,0456204379562044
22;ExitLong;Profit Target;8/30/20;6:05:00 PM;1980,6;1;;;;;;;;
23;EntryLong;Enter1;8/30/20;8:45:00 PM;1981,8;1;-300;-0,151377535573721;-670;-0,67;130;0,0655969320819457;-300;-0,151377535573721
24;ExitLong;Stop Loss;8/30/20;9:05:00 PM;1978,8;1;;;;;;;;
25;EntryShort;Enter1;8/31/20;12:50:00 PM;1979,8;1;-300;-0,151530457621982;-970;-0,97;850;0,429336296595616;-300;-0,151530457621982
26;ExitShort;Stop Loss;8/31/20;9:55:00 PM;1982,8;1;;;;;;;;
27;EntryLong;Enter1;9/1/20;2:50:00 AM;1993,7;1;-300;-0,150473993078196;-1270;-1,27;750;0,376184982695491;-300;-0,150473993078196
28;ExitLong;Stop Loss;9/1/20;9:40:00 AM;1990,7;1;;;;;;;;
29;EntryLong;Enter1;9/2/20;1:50:00 AM;1969,7;1;-270;-0,137076712189674;-1540;-1,54;420;0,213230441183937;-270;-0,137076712189674
30;ExitLong;Stop Loss;9/2/20;3:20:00 AM;1967;1;;;;;;;;
31;EntryLong;Enter1;9/2/20;2:15:00 PM;1945,6;1;780;0,400904605263158;-760;-0,76;780;0,400904605263158;-140;-0,0719572368421053
32;ExitLong;Profit Target;9/2/20;10:00:00 PM;1953,4;1;;;;;;;;
33;EntryShort;Enter1;9/3/20;4:00:00 AM;1942,3;1;690;0,355248931678937;-70,0000000000002;-0,0700000000000002;690;0,355248931678937;-110;-0,056633887658961
34;ExitShort;Profit Target;9/3/20;6:00:00 AM;1935,4;1;;;;;;;;
35;EntryLong;Enter1;9/3/20;1:40:00 PM;1935,6;1;900;0,4649721016739;830;0,83;900;0,4649721016739;-200;-0,103327133705311
36;ExitLong;Profit Target;9/3/20;2:35:00 PM;1944,6;1;;;;;;;;
37;EntryLong;Enter1;9/3/20;8:35:00 PM;1940,4;1;840;0,432900432900433;1670;1,67;840;0,432900432900433;-60;-0,0309214594928881
38;ExitLong;Profit Target;9/3/20;10:20:00 PM;1948,8;1;;;;;;;;
39;EntryLong;Enter1;9/4/20;1:00:00 AM;1943,1;1;-200;-0,102928310431784;1470;1,47;0;0;-200;-0,102928310431784
40;ExitLong;Stop Loss;9/4/20;1:20:00 AM;1941,1;1;;;;;;;;
41;EntryLong;Enter2;9/4/20;1:25:00 AM;1942,3;1;-170;-0,0875250991093034;1300;1,3;40;0,0205941409668949;-170;-0,0875250991093034
42;ExitLong;Stop Loss;9/4/20;1:35:00 AM;1940,6;1;;;;;;;;
43;EntryLong;Enter1;9/4/20;4:40:00 AM;1941,4;1;720;0,37086638508293;2020;2,02;720;0,37086638508293;0;0
44;ExitLong;Profit Target;9/4/20;8:35:00 AM;1948,6;1;;;;;;;;
45;EntryLong;Enter1;9/4/20;12:15:00 PM;1925,9;1;900;0,467313983072849;2920;2,92;900;0,467313983072849;-10;-0,00519237758969832
46;ExitLong;Profit Target;9/4/20;12:35:00 PM;1934,9;1;;;;;;;;
47;EntryLong;Enter1;9/7/20;3:35:00 AM;1936,2;1;-180;-0,092965602726991;2740;2,74;400;0,206590228282202;-180;-0,092965602726991
48;ExitLong;Stop Loss;9/7/20;5:40:00 AM;1934,4;1;;;;;;;;
49;EntryLong;Enter1;9/7/20;8:15:00 AM;1935;1;-160;-0,082687338501292;2580;2,58;390;0,201550387596899;-160;-0,082687338501292
50;ExitLong;Stop Loss;9/7/20;10:05:00 AM;1933,4;1;;;;;;;;
51;EntryLong;Enter1;9/8/20;9:15:00 AM;1920,1;1;-300;-0,156241862403;2280;2,28;0;0;-300;-0,156241862403
52;ExitLong;Stop Loss;9/8/20;9:20:00 AM;1917,1;1;;;;;;;;
53;EntryLong;Enter1;9/8/20;9:20:00 AM;1919,9;1;-290;-0,151049533829887;1990;1,99;240;0,125006510755769;-290;-0,151049533829887
54;ExitLong;Stop Loss;9/8/20;9:30:00 AM;1917;1;;;;;;;;
55;EntryLong;Enter1;9/8/20;11:10:00 PM;1933,4;1;690;0,356884245370849;2680;2,68;690;0,356884245370849;-30;-0,0155167063204717
56;ExitLong;Profit Target;9/9/20;1:35:00 AM;1940,3;1;;;;;;;;
57;EntryLong;Enter1;9/9/20;4:50:00 AM;1936,3;1;-290;-0,149770180240665;2390;2,39;270;0,139441202293033;-290;-0,149770180240665
58;ExitLong;Stop Loss;9/9/20;6:15:00 AM;1933,4;1;;;;;;;;
59;EntryLong;Enter1;9/9/20;8:20:00 PM;1955,1;1;-140;-0,0716075904045829;2250;2,25;40;0,0204593115441665;-140;-0,0716075904045829
60;ExitLong;Stop Loss;9/9/20;8:35:00 PM;1953,7;1;;;;;;;;
61;EntryLong;Enter1;9/9/20;9:00:00 PM;1955,1;1;-200;-0,102296557720833;2050;2,05;410;0,209707943327707;-200;-0,102296557720833
62;ExitLong;Stop Loss;9/9/20;10:05:00 PM;1953,1;1;;;;;;;;
63;EntryLong;Enter1;9/9/20;10:25:00 PM;1954;1;-180;-0,0921187308085978;1870;1,87;430;0,220061412487206;-180;-0,0921187308085978
64;ExitLong;Stop Loss;9/10/20;2:25:00 AM;1952,2;1;;;;;;;;
65;EntryLong;Enter1;9/10/20;7:50:00 PM;1953,9;1;-250;-0,127949229745637;1620;1,62;330;0,168892983264241;-250;-0,127949229745637
66;ExitLong;Stop Loss;9/10/20;10:45:00 PM;1951,4;1;;;;;;;;
67;EntryLong;Enter1;9/11/20;12:45:00 AM;1947;1;-170;-0,0873138161273754;1450;1,45;80;0,0410888546481767;-170;-0,0873138161273754
68;ExitLong;Stop Loss;9/11/20;1:20:00 AM;1945,3;1;;;;;;;;
69;EntryLong;Enter2;9/11/20;1:35:00 AM;1946,5;1;540;0,277421012072951;1990;1,99;540;0,277421012072951;0;0
70;ExitLong;Profit Target;9/11/20;2:20:00 AM;1951,9;1;;;;;;;;
71;EntryLong;Enter1;9/11/20;7:00:00 AM;1953,9;1;-190;-0,0972414146066841;1800;1,8;270;0,138185168125288;-190;-0,0972414146066841
72;ExitLong;Stop Loss;9/11/20;8:15:00 AM;1952;1;;;;;;;;
73;EntryLong;Enter1;9/11/20;9:05:00 AM;1952,5;1;900;0,460947503201024;2700;2,7;900;0,460947503201024;-190;-0,0973111395646607
74;ExitLong;Profit Target;9/11/20;9:45:00 AM;1961,5;1;;;;;;;;
75;EntryLong;Enter2;9/11/20;3:20:00 PM;1948,9;1;-80;-0,0410487967571451;2620;2,62;200;0,102621991892863;-80;-0,0410487967571451
76;ExitLong;Stop Loss;9/11/20;5:00:00 PM;1948,1;1;;;;;;;;
77;EntryLong;Enter1;9/14/20;12:15:00 AM;1957,5;1;-130;-0,0664112388250319;2490;2,49;30;0,0153256704980843;-130;-0,0664112388250319
78;ExitLong;Stop Loss;9/14/20;12:30:00 AM;1956,2;1;;;;;;;;
79;EntryLong;Enter1;9/14/20;2:55:00 AM;1953,7;1;-200;-0,102369862312535;2290;2,29;290;0,148436300353176;-200;-0,102369862312535
80;ExitLong;Stop Loss;9/14/20;5:30:00 AM;1951,7;1;;;;;;;;
81;EntryLong;Enter1;9/14/20;10:55:00 AM;1969;1;-300;-0,152361604875571;1990;1,99;350;0,177755205688167;-300;-0,152361604875571
82;ExitLong;Stop Loss;9/14/20;12:35:00 PM;1966;1;;;;;;;;
83;EntryLong;Enter1;9/14/20;1:55:00 PM;1964,1;1;540;0,274935084771651;2530;2,53;540;0,274935084771651;-60;-0,0305483427524057
84;ExitLong;Profit Target;9/14/20;9:55:00 PM;1969,5;1;;;;;;;;
85;EntryLong;Enter1;9/15/20;4:15:00 AM;1972,5;1;810;0,4106463878327;3340;3,34;810;0,4106463878327;-110;-0,055766793409379
86;ExitLong;Profit Target;9/15/20;7:00:00 AM;1980,6;1;;;;;;;;
87;EntryLong;Enter1;9/15/20;11:45:00 AM;1961,3;1;-300;-0,152959771580074;3040;3,04;650;0,331412838423495;-300;-0,152959771580074
88;ExitLong;Stop Loss;9/15/20;9:15:00 PM;1958,3;1;;;;;;;;
89;EntryLong;Enter1;9/16/20;2:10:00 AM;1967,8;1;-120;-0,0609818070942169;2920;2,92;20;0,0101636345157028;-120;-0,0609818070942169
90;ExitLong;Stop Loss;9/16/20;2:15:00 AM;1966,6;1;;;;;;;;
91;EntryLong;Enter1;9/16/20;2:35:00 AM;1967,7;1;900;0,4573867967678;3820;3,82;900;0,4573867967678;-60;-0,0304924531178533
92;ExitLong;Profit Target;9/16/20;4:20:00 AM;1976,7;1;;;;;;;;
93;EntryLong;Enter1;9/16/20;8:55:00 AM;1976,8;1;-280;-0,141643059490085;3540;3,54;700;0,354107648725212;-280;-0,141643059490085
94;ExitLong;Stop Loss;9/16/20;9:45:00 AM;1974;1;;;;;;;;
95;EntryShort;Enter2;9/16/20;7:55:00 PM;1968,7;1;210;0,106669375730177;3750;3,75;210;0,106669375730177;0;0
96;ExitShort;Profit Target;9/16/20;8:15:00 PM;1966,6;1;;;;;;;;
97;EntryShort;Enter1;9/17/20;11:25:00 AM;1954,3;1;380;0,194443023077317;4130;4,13;580;0,296781456275904;-110;-0,0562861382592233
98;ExitShort;Exit Short;9/17/20;2:45:00 PM;1950,5;1;;;;;;;;
99;EntryLong;Enter1;9/17/20;3:10:00 PM;1951,3;1;300;0,153743658074104;4430;4,43;300;0,153743658074104;-10;-0,00512478860247015
100;ExitLong;Profit Target;9/17/20;3:40:00 PM;1954,3;1;;;;;;;;
101;EntryLong;Enter1;9/18/20;2:40:00 AM;1960,6;1;-260;-0,132612465571764;4170;4,17;350;0,178516780577374;-260;-0,132612465571764
102;ExitLong;Stop Loss;9/18/20;7:50:00 AM;1958;1;;;;;;;;
103;EntryLong;Enter1;9/18/20;12:20:00 PM;1961,3;1;-300;-0,152959771580074;3870;3,87;690;0,351807474634171;-300;-0,152959771580074
104;ExitLong;Stop Loss;9/18/20;2:55:00 PM;1958,3;1;;;;;;;;
105;EntryLong;Enter1;9/20/20;8:05:00 PM;1956,2;1;-180;-0,0920151313771598;3690;3,69;10;0,00511195174317554;-180;-0,0920151313771598
106;ExitLong;Stop Loss;9/20/20;8:10:00 PM;1954,4;1;;;;;;;;
107;EntryLong;Enter2;9/20/20;8:15:00 PM;1955,4;1;570;0,291500460263885;4260;4,26;570;0,291500460263885;0;0
108;ExitLong;Profit Target;9/20/20;9:05:00 PM;1961,1;1;;;;;;;;
109;EntryLong;Enter1;9/21/20;3:10:00 AM;1958,6;1;260;0,132747881139589;4520;4,52;260;0,132747881139589;0;0
110;ExitLong;Exit Long;9/21/20;3:15:00 AM;1961,2;1;;;;;;;;
111;EntryShort;Enter1;9/21/20;3:45:00 AM;1958,7;1;210;0,107213968448461;4730;4,73;210;0,107213968448461;0;0
112;ExitShort;Exit Short;9/21/20;3:55:00 AM;1956,6;1;;;;;;;;
113;EntryLong;Enter1;9/21/20;6:35:00 AM;1937,4;1;-300;-0,154846701765252;4430;4,43;350;0,180654485392794;-300;-0,154846701765252
114;ExitLong;Stop Loss;9/21/20;8:20:00 AM;1934,4;1;;;;;;;;
115;EntryLong;Enter1;9/21/20;6:05:00 PM;1917,9;1;610;0,318056207310079;5040;5,04;610;0,318056207310079;0;0
116;ExitLong;Profit Target;9/21/20;6:05:00 PM;1924;1;;;;;;;;
117;EntryLong;Enter1;9/21/20;10:35:00 PM;1913,7;1;750;0,391910957830381;5790;5,79;750;0,391910957830381;-90;-0,0470293149396457
118;ExitLong;Profit Target;9/22/20;12:40:00 AM;1921,2;1;;;;;;;;
119;EntryLong;Enter1;9/22/20;8:25:00 AM;1909,7;1;900;0,471278211237367;6690;6,69;900;0,471278211237367;-90;-0,0471278211237367
120;ExitLong;Profit Target;9/22/20;9:05:00 AM;1918,7;1;;;;;;;;
121;EntryShort;Enter1;9/22/20;9:45:00 AM;1920,3;1;900;0,468676769254804;7590;7,59;900;0,468676769254804;-240;-0,124980471801281
122;ExitShort;Profit Target;9/22/20;9:55:00 AM;1911,3;1;;;;;;;;
123;EntryLong;Enter1;9/23/20;12:15:00 PM;1867,9;1;-300;-0,160608169602227;7290;7,29;450;0,240912254403341;-300;-0,160608169602227
124;ExitLong;Stop Loss;9/23/20;2:20:00 PM;1864,9;1;;;;;;;;
125;EntryLong;Enter1;9/23/20;7:45:00 PM;1857,7;1;810;0,436023039242074;8100;8,1;810;0,436023039242074;-70;-0,0376810033912903
126;ExitLong;Profit Target;9/23/20;9:05:00 PM;1865,8;1;;;;;;;;
127;EntryLong;Enter1;9/23/20;10:20:00 PM;1866,6;1;-300;-0,160720025715204;7800;7,8;220;0,11786135219115;-300;-0,160720025715204
128;ExitLong;Stop Loss;9/23/20;10:35:00 PM;1863,6;1;;;;;;;;
129;EntryLong;Enter1;9/24/20;6:00:00 AM;1853,9;1;900;0,485463077835913;8700;8,7;900;0,485463077835913;0;0
130;ExitLong;Profit Target;9/24/20;8:00:00 AM;1862,9;1;;;;;;;;
131;EntryLong;Enter1;9/24/20;2:50:00 PM;1872,3;1;-300;-0,160230732254446;8400;8,4;0;0;-300;-0,160230732254446
132;ExitLong;Stop Loss;9/24/20;2:50:00 PM;1869,3;1;;;;;;;;
133;EntryLong;Enter1;9/25/20;8:05:00 AM;1862,2;1;-290;-0,155729781978305;8110;8,11;270;0,144989797014284;-290;-0,155729781978305
134;ExitLong;Stop Loss;9/25/20;8:20:00 AM;1859,3;1;;;;;;;;
135;EntryLong;Enter2;9/25/20;3:05:00 PM;1868,6;1;-170;-0,0909772021834528;7940;7,94;190;0,10168040244033;-170;-0,0909772021834528
136;ExitLong;Stop Loss;9/25/20;3:35:00 PM;1866,9;1;;;;;;;;
