Order #;Type;Signal;Date;Time;Price;Contracts;Profit ($);Profit (%);Cum. Profit ($);Cum. Profit (%);Run-up ($);Run-up (%);Drawdown ($);Drawdown (%)
1;EntryLong;Enter;1/2/19;6:51:00 PM;6220;1;-156,00;-0,13%; -US$156,00;-0,16%; US$27,00;0,02%; -US$153,00;-0,12%
2;ExitLong;Stop Loss;1/2/19;6:51:00 PM;6212,5;1;;;;;;;;
3;EntryLong;Enter;1/2/19;8:02:00 PM;6222;1;329,00;0,26%; US$173,00;0,17%; US$637,00;0,51%; -US$3,00;-0,00%
4;ExitLong;Exit By ATR;1/2/19;9:55:00 PM;6238,75;1;;;;;;;;
5;EntryLong;Enter;1/2/19;10:55:00 PM;6228,75;1;-6,00;-0,00%; US$167,00;0,17%; US$172,00;0,14%; -US$8,00;-0,01%
6;ExitLong;Stop Loss;1/2/19;11:11:00 PM;6228,75;1;;;;;;;;
7;EntryLong;Enter;1/3/19;12:40:00 AM;6210;1;-156,00;-0,13%; US$11,00;0,01%; US$112,00;0,09%; -US$153,00;-0,12%
8;ExitLong;Stop Loss;1/3/19;1:14:00 AM;6202,5;1;;;;;;;;
9;EntryLong;Enter;1/3/19;5:36:00 AM;6194,25;1;-6,00;-0,00%; US$5,00;0,00%; US$382,00;0,31%; -US$23,00;-0,02%
10;ExitLong;Stop Loss;1/3/19;6:02:00 AM;6194,25;1;;;;;;;;
11;EntryLong;Enter;1/3/19;6:02:00 AM;6193,25;1;1314,00;1,06%; US$1319,00;1,32%; US$1587,00;1,28%; -US$3,00;-0,00%
12;ExitLong;Exit By ATR;1/3/19;9:08:00 AM;6259,25;1;;;;;;;;
13;EntryLong;Enter;1/3/19;6:01:00 PM;6165,25;1;104,00;0,08%; US$1423,00;1,42%; US$367,00;0,30%; -US$3,00;-0,00%
14;ExitLong;Stop Loss;1/3/19;6:51:00 PM;6170,75;1;;;;;;;;
15;EntryLong;Enter;1/3/19;7:53:00 PM;6140,75;1;2014,00;1,64%; US$3437,00;3,44%; US$2397,00;1,95%; -US$3,00;-0,00%
16;ExitLong;Exit By ATR;1/4/19;3:13:00 AM;6241,75;1;;;;;;;;
17;EntryLong;Enter;1/4/19;4:22:00 AM;6235;1;594,00;0,48%; US$4031,00;4,03%; US$877,00;0,70%; -US$18,00;-0,01%
18;ExitLong;Exit By ATR;1/4/19;6:04:00 AM;6265;1;;;;;;;;
19;EntryLong;Enter;1/4/19;6:05:00 AM;6262,75;1;134,00;0,11%; US$4165,00;4,17%; US$467,00;0,37%; -US$3,00;-0,00%
20;ExitLong;Stop Loss;1/4/19;7:04:00 AM;6269,75;1;;;;;;;;
21;EntryLong;Enter;1/6/19;6:37:00 PM;6441,5;1;314,00;0,24%; US$4479,00;4,48%; US$1077,00;0,84%; -US$3,00;-0,00%
22;ExitLong;Stop Loss;1/6/19;8:55:00 PM;6457,5;1;;;;;;;;
23;EntryLong;Enter;1/6/19;9:12:00 PM;6458,25;1;-156,00;-0,12%; US$4323,00;4,32%; US$132,00;0,10%; -US$153,00;-0,12%
24;ExitLong;Stop Loss;1/6/19;10:07:00 PM;6450,75;1;;;;;;;;
25;EntryLong;Enter;1/7/19;3:37:00 AM;6443,5;1;-156,00;-0,12%; US$4167,00;4,17%; US$82,00;0,06%; -US$153,00;-0,12%
26;ExitLong;Stop Loss;1/7/19;3:49:00 AM;6436;1;;;;;;;;
27;EntryLong;Enter;1/7/19;6:02:00 AM;6421;1;-156,00;-0,12%; US$4011,00;4,01%; US$32,00;0,02%; -US$153,00;-0,12%
28;ExitLong;Stop Loss;1/7/19;6:12:00 AM;6413,5;1;;;;;;;;
29;EntryLong;Enter;1/7/19;8:46:00 AM;6420,25;1;209,00;0,16%; US$4220,00;4,22%; US$717,00;0,56%; -US$108,00;-0,08%
30;ExitLong;Stop Loss;1/7/19;9:36:00 AM;6431;1;;;;;;;;
31;EntryLong;Enter;1/7/19;6:09:00 PM;6501,25;1;-156,00;-0,12%; US$4064,00;4,06%; US$17,00;0,01%; -US$153,00;-0,12%
32;ExitLong;Stop Loss;1/7/19;6:11:00 PM;6493,75;1;;;;;;;;
33;EntryLong;Enter;1/7/19;6:54:00 PM;6498;1;174,00;0,13%; US$4238,00;4,24%; US$397,00;0,31%; -US$103,00;-0,08%
34;ExitLong;Exit By ATR;1/7/19;8:14:00 PM;6507;1;;;;;;;;
35;EntryLong;Enter;1/7/19;10:33:00 PM;6520,5;1;-6,00;-0,00%; US$4232,00;4,23%; US$102,00;0,08%; -US$113,00;-0,09%
36;ExitLong;Stop Loss;1/7/19;11:46:00 PM;6520,5;1;;;;;;;;
37;EntryLong;Enter;1/8/19;1:26:00 AM;6508;1;79,00;0,06%; US$4311,00;4,31%; US$287,00;0,22%; -US$118,00;-0,09%
38;ExitLong;Stop Loss;1/8/19;2:01:00 AM;6512,25;1;;;;;;;;
39;EntryLong;Enter;1/8/19;2:22:00 AM;6516,25;1;-156,00;-0,12%; US$4155,00;4,15%; US$17,00;0,01%; -US$153,00;-0,12%
40;ExitLong;Stop Loss;1/8/19;2:39:00 AM;6508,75;1;;;;;;;;
41;EntryLong;Enter;1/8/19;4:23:00 AM;6531,75;1;-6,00;-0,00%; US$4149,00;4,15%; US$162,00;0,12%; -US$73,00;-0,06%
42;ExitLong;Stop Loss;1/8/19;4:47:00 AM;6531,75;1;;;;;;;;
43;EntryLong;Enter;1/8/19;7:44:00 AM;6542,25;1;-156,00;-0,12%; US$3993,00;3,99%; US$127,00;0,10%; -US$153,00;-0,12%
44;ExitLong;Stop Loss;1/8/19;7:57:00 AM;6534,75;1;;;;;;;;
45;EntryLong;Enter;1/8/19;12:49:00 PM;6523,25;1;-156,00;-0,12%; US$3837,00;3,84%; US$22,00;0,02%; -US$153,00;-0,12%
46;ExitLong;Stop Loss;1/8/19;12:51:00 PM;6515,75;1;;;;;;;;
