Date/Time;Profile;Account;Instrument;Position;Quantity;Average Price;Realized P/L;
11/18/2020 11:39:17 PM;CQG;132313;ENQZ20;Flat;0;;$ 450.00;
11/18/2020 11:35:33 PM;CQG;132313;ENQZ20;Long;1;11,859.750;$ 0.00;
11/18/2020 11:23:22 PM;CQG;132313;ENQZ20;Flat;0;;$ -155.00;
11/18/2020 11:17:20 PM;CQG;132313;ENQZ20;Long;1;11,859.750;$ 0.00;
11/18/2020 8:03:09 AM;CQG;132313;ENQZ20;Flat;0;;$ -220.00;
11/18/2020 8:03:09 AM;CQG;132313;MNQZ20;Flat;0;;$ -21.50;
11/18/2020 7:47:51 AM;CQG;132313;ENQZ20;Long;1;11,988.000;$ 0.00;
11/18/2020 7:47:46 AM;CQG;132313;MNQZ20;Long;1;11,988.000;$ 0.00;
11/17/2020 3:51:35 PM;CQG;132313;ENQZ20;Flat;0;;$ 175.00;
11/17/2020 2:42:47 PM;CQG;132313;ENQZ20;Long;1;11,968.750;$ 0.00;
11/17/2020 9:28:54 AM;CQG;132313;MGCZ20;Flat;0;;$ 0.00;
11/17/2020 8:52:02 AM;CQG;132313;EPZ20;Flat;0;;$ -300.00;
11/17/2020 8:50:23 AM;CQG;132313;EPZ20;Long;1;3,596.000;$ 0.00;
11/17/2020 8:43:46 AM;CQG;132313;MESZ20;Flat;0;;$ -21.25;
11/17/2020 8:43:46 AM;CQG;132313;EPZ20;Flat;0;;$ -212.50;
11/17/2020 8:01:23 AM;CQG;132313;EPZ20;Long;1;3,597.000;$ 0.00;
11/17/2020 7:53:43 AM;CQG;132313;MESZ20;Long;1;3,597.000;$ 0.00;
11/17/2020 7:31:38 AM;CQG;132313;ENQZ20;Flat;0;;$ -235.00;
11/17/2020 7:31:38 AM;CQG;132313;MNQZ20;Flat;0;;$ -21.00;
11/17/2020 7:15:15 AM;CQG;132313;ENQZ20;Long;1;12,034.500;$ 0.00;
11/17/2020 7:15:15 AM;CQG;132313;MNQZ20;Long;1;12,034.500;$ 0.00;
