Order #;Type;Signal;Date;Time;Price;Contracts;Profit ($);Profit (%);Cum. Profit ($);Cum. Profit (%);Run-up ($);Run-up (%);Drawdown ($);Drawdown (%)
1;EntryLong;Enter;1/3/17;8:55:00 AM;4901,75;1;-150;-0,153006579282909;-150;-0,15;30;0,0306013158565818;-150;-0,153006579282909
2;ExitLong;Stop Loss;1/3/17;9:35:00 AM;4894,25;1;;;;;;;;
3;EntryLong;Enter;1/3/17;9:40:00 AM;4903,25;1;-150;-0,152959771580074;-300;-0,3;95;0,0968745220007138;-150;-0,152959771580074
4;ExitLong;Stop Loss;1/3/17;9:40:00 AM;4895,75;1;;;;;;;;
5;EntryLong;Enter;1/3/17;2:05:00 PM;4886,75;1;395;0,40415409014171;95;0,095;465;0,475776333964291;-115;-0,117665114851384
6;ExitLong;TimeExit;1/3/17;5:00:00 PM;4906,5;1;;;;;;;;
7;EntryLong;Enter;1/3/17;6:05:00 PM;4907;1;500;0,509476258406358;595;0,595;500;0,509476258406358;-80;-0,0815162013450173
8;ExitLong;Profit Target;1/4/17;9:40:00 AM;4932;1;;;;;;;;
9;EntryLong;Enter;1/4/17;11:35:00 AM;4928,5;1;95;0,0963782083798316;690;0,69;280;0,284062087856346;-10;-0,0101450745662981
10;ExitLong;TimeExit;1/4/17;5:00:00 PM;4933,25;1;;;;;;;;
11;EntryLong;Enter;1/4/17;6:05:00 PM;4934,25;1;-150;-0,151998784009728;540;0,54;45;0,0455996352029184;-150;-0,151998784009728
12;ExitLong;Stop Loss;1/5/17;2:00:00 AM;4926,75;1;;;;;;;;
13;EntryLong;Enter;1/5/17;4:35:00 AM;4930,5;1;-150;-0,152114390021296;390;0,39;55;0,0557752763411419;-150;-0,152114390021296
14;ExitLong;Stop Loss;1/5/17;7:25:00 AM;4923;1;;;;;;;;
15;EntryLong;Enter;1/5/17;7:50:00 AM;4923,5;1;500;0,507768863613283;890;0,89;500;0,507768863613283;-60;-0,060932263633594
