Order #;Type;Signal;Date;Time;Price;Contracts;Profit ($);Profit (%);Cum. Profit ($);Cum. Profit (%);Run-up ($);Run-up (%);Drawdown ($);Drawdown (%)
1;EntryLong;Enter;1/3/17;9:40:00 AM;4903,25;1;-150;-0,152959771580074;-150;-0,15;95;0,0968745220007138;-150;-0,152959771580074
2;ExitLong;Stop Loss;1/3/17;9:40:00 AM;4895,75;1;;;;;;;;
3;EntryShort;EnterShort;1/3/17;10:35:00 PM;4912;1;-45;-0,0458061889250814;-195;-0,195;25;0,0254478827361564;-115;-0,117060260586319
4;ExitShort;Enter;1/4/17;3:10:00 AM;4914,25;1;;;;;;;;
5;EntryLong;Enter;1/4/17;3:10:00 AM;4914,25;1;385;0,391717963066592;190;0,19;565;0,574858828915908;-95;-0,09665767919825
6;ExitLong;TimeExit;1/4/17;5:00:00 PM;4933,5;1;;;;;;;;
7;EntryShort;EnterShort;1/4/17;8:35:00 PM;4928,25;1;-25;-0,0253639730127327;165;0,165;10;0,0101455892050931;-50;-0,0507279460254654
8;ExitShort;Enter;1/4/17;10:40:00 PM;4929,5;1;;;;;;;;
9;EntryLong;Enter;1/4/17;10:40:00 PM;4929,5;1;-150;-0,152145247996754;15;0,015;65;0,0659296074652602;-150;-0,152145247996754
10;ExitLong;Stop Loss;1/5/17;3:05:00 AM;4922;1;;;;;;;;
11;EntryLong;Enter;1/5/17;3:10:00 AM;4926;1;725;0,735891189606171;740;0,74;765;0,776492082825822;-110;-0,11165245635404
12;ExitLong;TimeExit;1/5/17;5:00:00 PM;4962,25;1;;;;;;;;
13;EntryLong;Enter;1/5/17;6:10:00 PM;4963,25;1;-150;-0,151110663375812;590;0,59;135;0,135999597038231;-150;-0,151110663375812
14;ExitLong;Stop Loss;1/6/17;9:35:00 AM;4955,75;1;;;;;;;;
15;EntryLong;Enter;1/6/17;9:45:00 AM;4969,25;1;-150;-0,150928208482165;440;0,44;50;0,0503094028273884;-150;-0,150928208482165
16;ExitLong;Stop Loss;1/6/17;9:50:00 AM;4961,75;1;;;;;;;;
17;EntryLong;Enter;1/6/17;9:55:00 AM;4968;1;750;0,754830917874396;1190;1,19;990;0,996376811594203;-60;-0,0603864734299517
18;ExitLong;TimeExit;1/6/17;5:00:00 PM;5005,5;1;;;;;;;;
19;EntryLong;Enter;1/8/17;8:30:00 PM;5011,5;1;-150;-0,149655791679138;1040;1,04;110;0,109747580564701;-150;-0,149655791679138
20;ExitLong;Stop Loss;1/9/17;6:25:00 AM;5004;1;;;;;;;;
21;EntryShort;EnterShort;1/9/17;9:00:00 AM;5004;1;-150;-0,149880095923261;890;0,89;0;0;-150;-0,149880095923261
22;ExitShort;Stop Loss;1/9/17;9:35:00 AM;5011,5;1;;;;;;;;
23;EntryLong;Enter;1/9/17;10:25:00 AM;5019,5;1;-150;-0,149417272636717;740;0,74;20;0,0199223030182289;-150;-0,149417272636717
24;ExitLong;Stop Loss;1/9/17;10:40:00 AM;5012;1;;;;;;;;
25;EntryLong;Enter;1/9/17;12:25:00 PM;5022,25;1;-20;-0,0199113942953855;720;0,72;145;0,144357608641545;-140;-0,139379760067699
26;ExitLong;TimeExit;1/9/17;5:00:00 PM;5021,25;1;;;;;;;;
27;EntryShort;EnterShort;1/9/17;9:50:00 PM;5017;1;-150;-0,149491728124377;570;0,57;195;0,19433924656169;-150;-0,149491728124377
28;ExitShort;Stop Loss;1/10/17;5:30:00 AM;5024,5;1;;;;;;;;
29;EntryLong;Enter;1/10/17;7:35:00 AM;5024,75;1;-150;-0,149261157271506;420;0,42;65;0,0646798348176526;-150;-0,149261157271506
30;ExitLong;Stop Loss;1/10/17;9:40:00 AM;5017,25;1;;;;;;;;
31;EntryLong;Enter;1/10/17;1:40:00 PM;5042;1;-150;-0,148750495834986;270;0,27;45;0,0446251487504958;-150;-0,148750495834986
32;ExitLong;Stop Loss;1/10/17;2:00:00 PM;5034,5;1;;;;;;;;
33;EntryShort;EnterShort;1/10/17;4:00:00 PM;5032,25;1;-10;-0,00993591335883551;260;0,26;45;0,0447116101147598;-35;-0,0347756967559243
34;ExitShort;TimeExitSh;1/10/17;5:00:00 PM;5032,75;1;;;;;;;;
35;EntryShort;EnterShort;1/10/17;11:50:00 PM;5028,25;1;-10;-0,00994381743151196;250;0,25;40;0,0397752697260478;-25;-0,0248595435787799
36;ExitShort;Enter;1/11/17;12:55:00 AM;5028,75;1;;;;;;;;
37;EntryLong;Enter;1/11/17;12:55:00 AM;5028,75;1;-150;-0,149142431021626;100;0,1;300;0,298284862043251;-150;-0,149142431021626
38;ExitLong;Stop Loss;1/11/17;11:30:00 AM;5021,25;1;;;;;;;;
39;EntryLong;Enter;1/11/17;8:20:00 PM;5040,5;1;-150;-0,148794762424363;-50;-0,05;40;0,0396786033131634;-150;-0,148794762424363
