Order #;Type;Signal;Date;Time;Price;Contracts;Profit ($);Profit (%);Cum. Profit ($);Cum. Profit (%);Run-up ($);Run-up (%);Drawdown ($);Drawdown (%)
1;EntryLong;Enter1;10/1/20;10:25:00 AM;1904,5;1;900;0,472564977684432;900;0,9;900;0,472564977684432;-210;-0,110265161459701
2;ExitLong;Profit Target;10/1/20;11:10:00 AM;1913,5;1;;;;;;;;
3;EntryLong;Enter2;10/1/20;10:30:00 PM;1902,6;1;-150;-0,0788394828129927;750;0,75;100;0,0525596552086618;-150;-0,0788394828129927
4;ExitLong;Stop Loss;10/1/20;10:45:00 PM;1901,1;1;;;;;;;;
5;EntryLong;Enter2;10/2/20;12:35:00 AM;1899,5;1;-160;-0,0842326928138984;590;0,59;160;0,0842326928138984;-160;-0,0842326928138984
6;ExitLong;Stop Loss;10/2/20;1:00:00 AM;1897,9;1;;;;;;;;
7;EntryLong;Enter1;10/2/20;11:20:00 AM;1910,3;1;-300;-0,157043396325184;290;0,29;520;0,27220855363032;-300;-0,157043396325184
8;ExitLong;Stop Loss;10/2/20;11:50:00 AM;1907,3;1;;;;;;;;
9;EntryLong;Enter1;10/5/20;2:35:00 AM;1897,1;1;-160;-0,084339254651837;130;0,13;200;0,105424068314796;-160;-0,084339254651837
10;ExitLong;Stop Loss;10/5/20;3:10:00 AM;1895,5;1;;;;;;;;
11;EntryShort;Enter1;10/5/20;11:00:00 AM;1921,8;1;-310;-0,161307107919659;-180;-0,18;0;0;-310;-0,161307107919659
12;ExitShort;Stop Loss;10/5/20;11:00:00 AM;1924,9;1;;;;;;;;
13;EntryShort;Enter1;10/5/20;11:05:00 AM;1922;1;900;0,468262226847034;720;0,72;900;0,468262226847034;-80;-0,0416233090530697
14;ExitShort;Profit Target;10/6/20;4:30:00 AM;1913;1;;;;;;;;
15;EntryLong;Enter1;10/6/20;7:10:00 AM;1918,6;1;690;0,359637235484207;1410;1,41;690;0,359637235484207;-40;-0,0208485353903888
16;ExitLong;Profit Target;10/6/20;8:05:00 AM;1925,5;1;;;;;;;;
17;EntryShort;Enter1;10/6/20;8:25:00 AM;1922,9;1;-300;-0,156014353320505;1110;1,11;430;0,223620573092725;-300;-0,156014353320505
18;ExitShort;Stop Loss;10/6/20;9:35:00 AM;1925,9;1;;;;;;;;
