Order #;Type;Signal;Date;Time;Price;Contracts;Profit ($);Profit (%);Cum. Profit ($);Cum. Profit (%);Run-up ($);Run-up (%);Drawdown ($);Drawdown (%)
1;EntryLong;Enter1;8/23/20;7:40:00 PM;11582;1;650;0,280607839751338;650;0,65;650;0,280607839751338;-30;-0,0129511310654464
2;ExitLong;Profit Target;8/23/20;10:40:00 PM;11614,5;1;;;;;;;;
3;EntryLong;Enter1;8/24/20;11:15:00 PM;11675,25;1;-90;-0,0385430718828291;560;0,56;55;0,0235540994839511;-90;-0,0385430718828291
4;ExitLong;Stop Loss;8/24/20;11:35:00 PM;11670,75;1;;;;;;;;
5;EntryLong;Enter1;8/24/20;11:50:00 PM;11675,25;1;-125;-0,053532044281707;435;0,435;55;0,0235540994839511;-125;-0,053532044281707
6;ExitLong;Stop Loss;8/25/20;12:55:00 AM;11669;1;;;;;;;;
7;EntryLong;Enter1;8/26/20;2:20:00 AM;11737,5;1;650;0,276890308839191;1085;1,085;650;0,276890308839191;-85;-0,0362087326943557
8;ExitLong;Profit Target;8/26/20;5:55:00 AM;11770;1;;;;;;;;
9;EntryLong;Enter1;8/28/20;6:00:00 AM;11935,5;1;905;0,379121109295798;1990;1,99;905;0,379121109295798;0;0
10;ExitLong;Profit Target;8/28/20;8:10:00 AM;11980,75;1;;;;;;;;
11;EntryLong;Enter1;8/31/20;2:05:00 PM;12135,75;1;-305;-0,125661784397338;1685;1,685;320;0,131841872154585;-305;-0,125661784397338
12;ExitLong;Stop Loss;8/31/20;2:25:00 PM;12120,5;1;;;;;;;;
13;EntryLong;Enter1;9/1/20;2:15:00 PM;12270,25;1;605;0,246531244269677;2290;2,29;605;0,246531244269677;-230;-0,0937226217884721
14;ExitLong;Profit Target;9/1/20;3:00:00 PM;12300,5;1;;;;;;;;
15;EntryLong;Enter1;9/3/20;1:10:00 AM;12372,5;1;-305;-0,123257223681552;1985;1,985;205;0,0828450191957971;-305;-0,123257223681552
16;ExitLong;Stop Loss;9/3/20;1:55:00 AM;12357,25;1;;;;;;;;
17;EntryLong;Enter1;9/15/20;2:35:00 AM;11307;1;690;0,305120721676837;2675;2,675;690;0,305120721676837;-190;-0,0840187494472451
18;ExitLong;Profit Target;9/15/20;4:05:00 AM;11341,5;1;;;;;;;;
19;EntryLong;Enter1;9/16/20;1:30:00 AM;11460;1;905;0,394851657940663;3580;3,58;905;0,394851657940663;-25;-0,0109075043630017
20;ExitLong;Profit Target;9/16/20;3:10:00 AM;11505,25;1;;;;;;;;
21;EntryLong;Enter1;9/17/20;11:20:00 PM;11074,75;1;620;0,279916025192442;4200;4,2;620;0,279916025192442;0;0
22;ExitLong;Profit Target;9/17/20;11:45:00 PM;11105,75;1;;;;;;;;
23;EntryLong;Enter1;9/20/20;9:25:00 PM;10932,75;1;-305;-0,139489149573529;3895;3,895;535;0,24467768859619;-305;-0,139489149573529
24;ExitLong;Stop Loss;9/20/20;10:05:00 PM;10917,5;1;;;;;;;;
25;EntryLong;Enter1;9/21/20;9:35:00 AM;10715;1;-305;-0,142323845076995;3590;3,59;80;0,0373308446103593;-305;-0,142323845076995
26;ExitLong;Stop Loss;9/21/20;9:35:00 AM;10699,75;1;;;;;;;;
27;EntryLong;Enter1;9/22/20;6:45:00 AM;11042;1;-305;-0,138109038217714;3285;3,285;15;0,00679224778119906;-305;-0,138109038217714
28;ExitLong;Stop Loss;9/22/20;6:55:00 AM;11026,75;1;;;;;;;;
29;EntryLong;Enter1;9/23/20;9:35:00 PM;10806,75;1;-305;-0,141115506512134;2980;2,98;300;0,138802137552918;-305;-0,141115506512134
30;ExitLong;Stop Loss;9/23/20;10:05:00 PM;10791,5;1;;;;;;;;
31;EntryLong;Enter1;9/23/20;10:15:00 PM;10806,25;1;-305;-0,141122035858878;2675;2,675;525;0,242914979757085;-305;-0,141122035858878
32;ExitLong;Stop Loss;9/23/20;11:35:00 PM;10791;1;;;;;;;;
33;EntryLong;Enter1;9/24/20;11:05:00 PM;10935,5;1;-290;-0,132595674637648;2385;2,385;445;0,20346577659915;-290;-0,132595674637648
34;ExitLong;Stop Loss;9/25/20;1:00:00 AM;10921;1;;;;;;;;
35;EntryLong;Enter1;9/25/20;5:15:00 AM;10859,25;1;-305;-0,140433271174344;2080;2,08;0;0;-305;-0,140433271174344
36;ExitLong;Stop Loss;9/25/20;5:20:00 AM;10844;1;;;;;;;;
37;EntryLong;Enter1;9/27/20;7:20:00 PM;11154,5;1;860;0,385494643417455;2940;2,94;860;0,385494643417455;-275;-0,123268635976512
38;ExitLong;Profit Target;9/28/20;12:25:00 AM;11197,5;1;;;;;;;;
39;EntryLong;Enter1;9/28/20;6:30:00 AM;11316,75;1;905;0,399849780193077;3845;3,845;905;0,399849780193077;-20;-0,00883645923078622
40;ExitLong;Profit Target;9/28/20;7:10:00 AM;11362;1;;;;;;;;
41;EntryLong;Enter1;9/29/20;10:05:00 AM;11304,5;1;905;0,400283073112477;4750;4,75;905;0,400283073112477;0;0
42;ExitLong;Profit Target;9/29/20;10:25:00 AM;11349,75;1;;;;;;;;
43;EntryLong;Enter1;10/6/20;6:00:00 PM;11212,5;1;905;0,403567447045708;5655;5,655;905;0,403567447045708;-45;-0,020066889632107
44;ExitLong;Profit Target;10/6/20;6:50:00 PM;11257,75;1;;;;;;;;
45;EntryLong;Enter1;10/7/20;3:55:00 PM;11474;1;730;0,318110510719888;6385;6,385;730;0,318110510719888;-85;-0,0370402649468363
46;ExitLong;Profit Target;10/7/20;9:00:00 PM;11510,5;1;;;;;;;;
47;EntryLong;Enter1;10/8/20;4:40:00 AM;11540;1;490;0,212305025996534;6875;6,875;490;0,212305025996534;-300;-0,12998266897747
48;ExitLong;Profit Target;10/8/20;7:15:00 AM;11564,5;1;;;;;;;;
49;EntryLong;Enter1;10/8/20;7:50:00 PM;11575,25;1;-245;-0,105829247748429;6630;6,63;545;0,235416081726097;-245;-0,105829247748429
50;ExitLong;Stop Loss;10/9/20;1:50:00 AM;11563;1;;;;;;;;
51;EntryLong;Enter1;10/9/20;2:20:00 AM;11567,5;1;575;0,248541171385347;7205;7,205;575;0,248541171385347;-285;-0,123189971904041
52;ExitLong;Profit Target;10/9/20;7:30:00 AM;11596,25;1;;;;;;;;
53;EntryLong;Enter1;10/12/20;5:15:00 AM;11842,75;1;820;0,346203373371894;8025;8,025;820;0,346203373371894;0;0
54;ExitLong;Profit Target;10/12/20;6:00:00 AM;11883,75;1;;;;;;;;
55;EntryLong;Enter1;10/12/20;7:55:00 PM;12061,75;1;-305;-0,126432731568802;7720;7,72;370;0,153377412067072;-305;-0,126432731568802
56;ExitLong;Stop Loss;10/12/20;8:50:00 PM;12046,5;1;;;;;;;;
57;EntryLong;Enter1;10/13/20;2:20:00 AM;12038;1;905;0,375893005482638;8625;8,625;905;0,375893005482638;0;0
58;ExitLong;Profit Target;10/13/20;3:05:00 AM;12083,25;1;;;;;;;;
59;EntryLong;Enter1;10/13/20;1:35:00 PM;12039;1;-400;-0,166126754713847;8225;8,225;0;0;-400;-0,166126754713847
60;ExitLong;Stop Loss;10/13/20;1:35:00 PM;12019;1;;;;;;;;
61;EntryLong;Enter1;10/13/20;8:50:00 PM;12127;1;785;0,323657953327286;9010;9,01;785;0,323657953327286;-5;-0,00206151562628845
62;ExitLong;Profit Target;10/13/20;10:25:00 PM;12166,25;1;;;;;;;;
63;EntryLong;Enter1;10/14/20;9:20:00 PM;11902,5;1;-305;-0,128124343625289;8705;8,705;150;0,0630119722747322;-305;-0,128124343625289
64;ExitLong;Stop Loss;10/14/20;9:55:00 PM;11887,25;1;;;;;;;;
65;EntryLong;Enter1;10/21/20;1:05:00 AM;11700,25;1;-305;-0,130339095318476;8400;8,4;835;0,356829982265336;-305;-0,130339095318476
66;ExitLong;Stop Loss;10/21/20;2:15:00 AM;11685;1;;;;;;;;
67;EntryLong;Enter1;10/26/20;3:00:00 AM;11558;1;905;0,391503720366845;9305;9,305;905;0,391503720366845;-135;-0,0584011074580377
68;ExitLong;Profit Target;10/26/20;8:35:00 AM;11603,25;1;;;;;;;;
69;EntryLong;Enter1;10/28/20;3:15:00 AM;11497,25;1;-305;-0,132640414012046;9000;9;0;0;-305;-0,132640414012046
70;ExitLong;Stop Loss;10/28/20;3:20:00 AM;11482;1;;;;;;;;
71;EntryLong;Enter1;10/28/20;6:40:00 AM;11449,5;1;-305;-0,133193589239705;8695;8,695;295;0,128826586313813;-305;-0,133193589239705
72;ExitLong;Stop Loss;10/28/20;7:20:00 AM;11434,25;1;;;;;;;;
73;EntryLong;Enter1;11/1/20;10:10:00 PM;11053,25;1;710;0,321172505824079;9405;9,405;710;0,321172505824079;-230;-0,104041797661321
74;ExitLong;Profit Target;11/2/20;12:40:00 AM;11088,75;1;;;;;;;;
75;EntryLong;Enter3;11/2/20;11:10:00 PM;11078,25;1;710;0,320447724144156;10115;10,115;710;0,320447724144156;-150;-0,0677002234107373
76;ExitLong;Profit Target;11/3/20;1:45:00 AM;11113,75;1;;;;;;;;
77;EntryLong;Enter1;11/3/20;3:40:00 PM;11228,75;1;905;0,402983413113659;11020;11,02;905;0,402983413113659;0;0
78;ExitLong;Profit Target;11/3/20;5:05:00 PM;11274;1;;;;;;;;
79;EntryLong;Enter1;11/9/20;2:05:00 AM;12304;1;-305;-0,123943433029909;10715;10,715;855;0,347447984395319;-305;-0,123943433029909
80;ExitLong;Stop Loss;11/9/20;3:30:00 AM;12288,75;1;;;;;;;;
81;EntryLong;Enter1;11/12/20;2:30:00 AM;11828,75;1;905;0,382542534080101;11620;11,62;905;0,382542534080101;-125;-0,0528373665856494
82;ExitLong;Profit Target;11/12/20;3:10:00 AM;11874;1;;;;;;;;
83;EntryLong;Enter1;11/12/20;2:40:00 PM;11791,5;1;-305;-0,129330449900352;11315;11,315;515;0,218377644913709;-305;-0,129330449900352
84;ExitLong;Stop Loss;11/12/20;2:50:00 PM;11776,25;1;;;;;;;;
85;EntryLong;Enter1;11/13/20;8:50:00 AM;11885,75;1;-305;-0,128304902929979;11010;11,01;565;0,237679574280125;-305;-0,128304902929979
86;ExitLong;Stop Loss;11/13/20;9:05:00 AM;11870,5;1;;;;;;;;
87;EntryLong;Enter1;11/16/20;1:10:00 AM;12019,75;1;-240;-0,0998356870983174;10770;10,77;70;0,0291187420703426;-240;-0,0998356870983174
88;ExitLong;Stop Loss;11/16/20;1:30:00 AM;12007,75;1;;;;;;;;
89;EntryLong;Enter1;11/16/20;1:55:00 AM;12018,25;1;-305;-0,126890354252907;10465;10,465;60;0,0249620369022112;-305;-0,126890354252907
90;ExitLong;Stop Loss;11/16/20;2:05:00 AM;12003;1;;;;;;;;
91;EntryLong;Enter1;11/17/20;5:25:00 AM;12017,75;1;-305;-0,126895633542052;10160;10,16;670;0,278754342535;-305;-0,126895633542052
92;ExitLong;Stop Loss;11/17/20;8:40:00 AM;12002,5;1;;;;;;;;
93;EntryLong;Enter1;11/17/20;2:45:00 PM;11968,75;1;-305;-0,127415143603133;9855;9,855;490;0,204699738903394;-305;-0,127415143603133
94;ExitLong;Stop Loss;11/17/20;6:10:00 PM;11953,5;1;;;;;;;;
95;EntryLong;Enter1;11/19/20;8:35:00 AM;11872,5;1;-250;-0,105285323225942;9605;9,605;230;0,0968624973678669;-250;-0,105285323225942
96;ExitLong;Stop Loss;11/19/20;8:35:00 AM;11860;1;;;;;;;;
97;EntryLong;Enter1;11/19/20;12:20:00 PM;11926;1;530;0,222203588797585;10135;10,135;530;0,222203588797585;-160;-0,0670803286936106
98;ExitLong;Profit Target;11/19/20;12:50:00 PM;11952,5;1;;;;;;;;
