Order #;Type;Signal;Date;Time;Price;Contracts;Profit ($);Profit (%);Cum. Profit ($);Cum. Profit (%);Run-up ($);Run-up (%);Drawdown ($);Drawdown (%)
1;EntryLong;Enter;02.01.2019;2:02:00 PM;6390,5;1;-105,00;-0,08%;-105,00;-0,11%;$ت225,00;0,18%;-$ت105,00;-0,08%
2;ExitLong;Exit By ATR;02.01.2019;2:08:00 PM;6385,25;1;;;;;;;;
3;EntryLong;Enter;02.01.2019;2:43:00 PM;6378,75;1;110,00;0,09%;5,00;0,01%;$ت380,00;0,30%;-$ت70,00;-0,05%
4;ExitLong;Stop Loss;02.01.2019;2:56:00 PM;6384,25;1;;;;;;;;
5;EntryLong;Enter;02.01.2019;4:32:00 PM;6343,25;1;-150,00;-0,12%;-145,00;-0,15%;$ت90,00;0,07%;-$ت150,00;-0,12%
6;ExitLong;Stop Loss;02.01.2019;4:32:00 PM;6335,75;1;;;;;;;;
7;EntryLong;Enter;02.01.2019;4:32:00 PM;6335,25;1;-150,00;-0,12%;-295,00;-0,30%;$ت25,00;0,02%;-$ت150,00;-0,12%
8;ExitLong;Stop Loss;02.01.2019;4:33:00 PM;6327,75;1;;;;;;;;
9;EntryLong;Enter;02.01.2019;6:50:00 PM;6220;1;-150,00;-0,12%;-445,00;-0,45%;$ت0,00;0,00%;-$ت150,00;-0,12%
10;ExitLong;Stop Loss;02.01.2019;6:51:00 PM;6212,5;1;;;;;;;;
11;EntryLong;Enter;02.01.2019;8:02:00 PM;6222;1;65,00;0,05%;-380,00;-0,38%;$ت230,00;0,18%;$ت0,00;0,00%
12;ExitLong;Stop Loss;02.01.2019;8:22:00 PM;6225,25;1;;;;;;;;
13;EntryLong;Enter;02.01.2019;10:55:00 PM;6228,75;1;50,00;0,04%;-330,00;-0,33%;$ت175,00;0,14%;-$ت5,00;0,00%
14;ExitLong;Stop Loss;02.01.2019;11:08:00 PM;6231,25;1;;;;;;;;
15;EntryLong;Enter;03.01.2019;12:40:00 AM;6210;1;-150,00;-0,12%;-480,00;-0,48%;$ت115,00;0,09%;-$ت150,00;-0,12%
16;ExitLong;Stop Loss;03.01.2019;1:14:00 AM;6202,5;1;;;;;;;;
17;EntryLong;Enter;03.01.2019;5:36:00 AM;6194,25;1;115,00;0,09%;-365,00;-0,37%;$ت385,00;0,31%;-$ت20,00;-0,02%
18;ExitLong;Stop Loss;03.01.2019;5:55:00 AM;6200;1;;;;;;;;
19;EntryLong;Enter;03.01.2019;6:02:00 AM;6193,25;1;105,00;0,08%;-260,00;-0,26%;$ت350,00;0,28%;$ت0,00;0,00%
20;ExitLong;Stop Loss;03.01.2019;6:09:00 AM;6198,5;1;;;;;;;;
21;EntryLong;Enter;03.01.2019;9:40:00 AM;6260,5;1;-150,00;-0,12%;-410,00;-0,41%;$ت590,00;0,47%;-$ت150,00;-0,12%
