Date/Time;Profile;Account;Instrument;Position;Quantity;Average Price;Realized P/L
12/16/2020 11:31:01 AM;CQG;132313;MNQH21;Flat;0;;-$12.00
12/16/2020 11:24:15 AM;CQG;132313;MNQH21;Long;1;12,645.25;$0.00
12/16/2020 10:33:50 AM;CQG;132313;MNQH21;Flat;0;;$44.50
12/16/2020 10:22:02 AM;CQG;132313;MNQH21;Long;1;12,617.50;$0.00
12/16/2020 10:18:01 AM;CQG;132313;ENQH21;Flat;0;;-$250.00
12/16/2020 10:10:29 AM;CQG;132313;ENQH21;Long;1;12,629.75;$0.00
12/16/2020 8:53:08 AM;CQG;132313;MGCG21;Flat;0;;-$21.00
12/16/2020 8:46:32 AM;CQG;132313;MGCG21;Long;1;1,859.10;$0.00
12/16/2020 8:44:22 AM;CQG;132313;MNQH21;Flat;0;;-$13.00
12/16/2020 8:40:09 AM;CQG;132313;MNQH21;Long;1;12,580.25;$0.00
12/16/2020 8:35:29 AM;CQG;132313;MESH21;Flat;0;;-$11.25
12/16/2020 8:34:14 AM;CQG;132313;MNQH21;Flat;0;;-$12.50
12/16/2020 8:33:43 AM;CQG;132313;MNQH21;Long;1;12,601.50;$0.00
12/16/2020 8:30:20 AM;CQG;132313;MESH21;Long;1;3,689.50;$0.00
12/16/2020 7:26:56 AM;CQG;132313;MESH21;Flat;0;;-$7.50
12/16/2020 7:26:19 AM;CQG;132313;MESH21;Long;1;3,694.75;$0.00
12/16/2020 7:20:21 AM;CQG;132313;MGCG21;Flat;0;;-$25.00
12/16/2020 7:20:06 AM;CQG;132313;MGCG21;Long;1;1,856.10;$0.00
12/16/2020 7:01:42 AM;CQG;132313;MESH21;Flat;0;;-$5.00
12/16/2020 6:56:56 AM;CQG;132313;MESH21;Long;1;3,696.25;$0.00
12/16/2020 4:50:29 AM;CQG;132313;MNQH21;Flat;0;;$15.00
12/16/2020 4:43:21 AM;CQG;132313;MNQH21;Long;1;12,633.25;$0.00
12/15/2020 1:27:42 PM;CQG;132313;NQMG21;Flat;0;;$37.50
12/15/2020 10:01:56 AM;CQG;132313;NQMG21;Short;-1;47.825;$0.00
12/15/2020 9:06:59 AM;CQG;132313;NQMG21;Flat;0;;-$100.00
12/15/2020 7:54:10 AM;CQG;132313;MNQH21;Flat;0;;-$18.00
12/15/2020 7:47:08 AM;CQG;132313;NQMG21;Short;-1;47.5;$0.00
12/15/2020 7:34:55 AM;CQG;132313;MNQH21;Short;-1;12,550.00;$0.00
12/15/2020 7:31:19 AM;CQG;132313;MGCG21;Flat;0;;-$16.00
12/15/2020 7:26:35 AM;CQG;132313;MGCG21;Short;-1;1,854.30;$0.00
12/15/2020 7:10:01 AM;CQG;132313;MGCG21;Flat;0;;$40.00
12/15/2020 6:59:43 AM;CQG;132313;MGCG21;Long;1;1,846.50;$0.00
12/15/2020 2:13:25 AM;CQG;132313;NQMG21;Flat;0;;-$50.00
12/15/2020 2:07:04 AM;CQG;132313;NQMG21;Long;1;46.8;$0.00
