Order #;Type;Signal;Date;Time;Price;Contracts;Profit ($);Profit (%);Cum. Profit ($);Cum. Profit (%);Run-up ($);Run-up (%);Drawdown ($);Drawdown (%)
1;EntryLong;Enter1;8/20/20;1:00:00 AM;3352,5;1;350;0,208799403430276;350;0,35;350;0,208799403430276;0;0
2;ExitLong;Profit Target;8/20/20;1:40:00 AM;3359,5;1;;;;;;;;
3;EntryLong;Enter1;8/20/20;10:15:00 AM;3367,5;1;612,5;0,3637713437268;962,5;0,9625;612,5;0,3637713437268;-37,5;-0,022271714922049
4;ExitLong;Profit Target;8/20/20;1:25:00 PM;3379,75;1;;;;;;;;
5;EntryLong;Enter1;8/20/20;2:25:00 PM;3378,25;1;525;0,310811810848812;1487,5;1,4875;525;0,310811810848812;-62,5;-0,03700140605343
6;ExitLong;Profit Target;8/20/20;6:55:00 PM;3388,75;1;;;;;;;;
7;EntryLong;Enter1;8/20/20;8:40:00 PM;3385,5;1;-75;-0,0443066016836509;1412,5;1,4125;275;0,16245753950672;-75;-0,0443066016836509
8;ExitLong;Stop Loss;8/21/20;1:35:00 AM;3384;1;;;;;;;;
9;EntryLong;Enter1;8/21/20;3:35:00 AM;3377;1;-162,5;-0,0962392656203731;1250;1,25;287,5;0,170269469943737;-162,5;-0,0962392656203731
10;ExitLong;Stop Loss;8/21/20;5:50:00 AM;3373,75;1;;;;;;;;
11;EntryLong;Enter1;8/21/20;11:00:00 AM;3378,5;1;650;0,384786147698683;1900;1,9;650;0,384786147698683;-12,5;-0,00739973360959005
12;ExitLong;Profit Target;8/21/20;1:35:00 PM;3391,5;1;;;;;;;;
13;EntryLong;Enter1;8/23/20;7:05:00 PM;3395,5;1;675;0,397585039022235;2575;2,575;675;0,397585039022235;-100;-0,0589014872625534
14;ExitLong;Profit Target;8/24/20;2:05:00 AM;3409;1;;;;;;;;
15;EntryLong;Enter1;8/24/20;11:40:00 PM;3441,5;1;-112,5;-0,0653784686909778;2462,5;2,4625;362,5;0,210663954670928;-112,5;-0,0653784686909778
16;ExitLong;Stop Loss;8/25/20;3:35:00 AM;3439,25;1;;;;;;;;
17;EntryLong;Enter1;8/26/20;1:20:00 AM;3439,5;1;-75;-0,0436109899694723;2387,5;2,3875;187,5;0,109027474923681;-75;-0,0436109899694723
18;ExitLong;Stop Loss;8/26/20;2:05:00 AM;3438;1;;;;;;;;
19;EntryLong;Enter1;8/26/20;2:05:00 PM;3462,75;1;650;0,37542415710057;3037,5;3,0375;650;0,37542415710057;0;0
20;ExitLong;Profit Target;8/26/20;2:25:00 PM;3475,75;1;;;;;;;;
21;EntryLong;Enter1;8/27/20;4:30:00 AM;3470,25;1;537,5;0,309775952741157;3575;3,575;537,5;0,309775952741157;-87,5;-0,0504286434694907
22;ExitLong;Profit Target;8/27/20;8:20:00 AM;3481;1;;;;;;;;
23;EntryLong;Enter1;8/28/20;2:35:00 AM;3486,5;1;-200;-0,114728237487452;3375;3,375;700;0,401548831206081;-200;-0,114728237487452
24;ExitLong;Stop Loss;8/28/20;9:40:00 AM;3482,5;1;;;;;;;;
25;EntryLong;Enter1;8/28/20;9:40:00 AM;3485,5;1;-200;-0,114761153349591;3175;3,175;175;0,100416009180892;-200;-0,114761153349591
26;ExitLong;Stop Loss;8/28/20;10:00:00 AM;3481,5;1;;;;;;;;
27;EntryLong;Enter1;8/31/20;2:25:00 PM;3499,25;1;-150;-0,0857326569979281;3025;3,025;687,5;0,392941344573837;-150;-0,0857326569979281
28;ExitLong;Stop Loss;8/31/20;3:05:00 PM;3496,25;1;;;;;;;;
29;EntryLong;Enter1;8/31/20;10:40:00 PM;3501,5;1;487,5;0,278452091960588;3512,5;3,5125;487,5;0,278452091960588;-62,5;-0,0356989861487934
30;ExitLong;Profit Target;9/1/20;2:25:00 AM;3511,25;1;;;;;;;;
31;EntryLong;Enter1;9/2/20;6:05:00 AM;3549;1;-62,5;-0,0352211890673429;3450;3,45;100;0,0563539025077487;-62,5;-0,0352211890673429
32;ExitLong;Stop Loss;9/2/20;7:00:00 AM;3547,75;1;;;;;;;;
33;EntryLong;Enter1;9/2/20;8:05:00 PM;3574,5;1;-112,5;-0,0629458665547629;3337,5;3,3375;25;0,0139879703455029;-112,5;-0,0629458665547629
34;ExitLong;Stop Loss;9/2/20;8:05:00 PM;3572,25;1;;;;;;;;
35;EntryLong;Enter1;9/3/20;12:40:00 AM;3570,5;1;-125;-0,0700182047332306;3212,5;3,2125;25;0,0140036409466461;-125;-0,0700182047332306
36;ExitLong;Stop Loss;9/3/20;12:50:00 AM;3568;1;;;;;;;;
37;EntryLong;Enter1;9/4/20;2:05:00 AM;3436,5;1;1000;0,581987487269024;4212,5;4,2125;1000;0,581987487269024;0;0
38;ExitLong;Profit Target;9/4/20;2:25:00 AM;3456,5;1;;;;;;;;
39;EntryLong;Enter1;9/6/20;5:20:00 PM;3383,5;1;2775;1,64031328505985;6987,5;6,9875;2775;1,64031328505985;0;0
40;ExitLong;Profit Target;9/7/20;5:05:00 PM;3439;1;;;;;;;;
41;EntryLong;Enter1;9/8/20;1:50:00 PM;3337,25;1;-350;-0,209753539590981;6637,5;6,6375;187,5;0,112367967638025;-350;-0,209753539590981
42;ExitLong;Stop Loss;9/8/20;1:55:00 PM;3330,25;1;;;;;;;;
43;EntryLong;Enter1;9/9/20;1:25:00 AM;3325,75;1;1237,5;0,744193039164098;7875;7,875;1237,5;0,744193039164098;-212,5;-0,127790723896865
44;ExitLong;Profit Target;9/9/20;2:35:00 AM;3350,5;1;;;;;;;;
45;EntryLong;Enter1;9/9/20;4:10:00 AM;3352,75;1;1100;0,656177764521661;8975;8,975;1100;0,656177764521661;-112,5;-0,0671090895533517
46;ExitLong;Profit Target;9/9/20;8:15:00 AM;3374,75;1;;;;;;;;
