Order #;Type;Signal;Date;Time;Price;Contracts;Profit ($);Profit (%);Cum. Profit ($);Cum. Profit (%);Run-up ($);Run-up (%);Drawdown ($);Drawdown (%)
1;EntryLong;Enter1;8/20/20;6:15:00 AM;1932;1;1840;0,952380952380952;1840;1,84;1840;0,952380952380952;-310;-0,160455486542443
2;ExitLong;Profit Target;8/20/20;8:35:00 AM;1950,4;1;;;;;;;;
3;EntryShort;Enter1;8/20/20;3:40:00 PM;1962,1;1;1580;0,805259670760919;3420;3,42;1580;0,805259670760919;-100;-0,0509658019468936
4;ExitShort;Profit Target;8/21/20;3:15:00 AM;1946,3;1;;;;;;;;
5;EntryLong;Enter1;8/23/20;6:10:00 PM;1939,5;1;-180;-0,0928074245939675;3240;3,24;680;0,350605826243877;-180;-0,0928074245939675
6;ExitLong;Stop Loss;8/23/20;9:10:00 PM;1937,7;1;;;;;;;;
7;EntryLong;Enter1;8/23/20;9:10:00 PM;1938,1;1;910;0,469532015891853;4150;4,15;910;0,469532015891853;-40;-0,0206387699293122
8;ExitLong;Profit Target;8/24/20;3:10:00 AM;1947,2;1;;;;;;;;
9;EntryShort;Enter1;8/24/20;3:40:00 AM;1954,7;1;-310;-0,15859211132143;3840;3,84;0;0;-310;-0,15859211132143
10;ExitShort;Stop Loss;8/24/20;3:40:00 AM;1957,8;1;;;;;;;;
11;EntryLong;Enter1;8/25/20;4:30:00 AM;1930,7;1;-210;-0,108768840316983;3630;3,63;500;0,258973429326151;-210;-0,108768840316983
12;ExitLong;Stop Loss;8/25/20;5:45:00 AM;1928,6;1;;;;;;;;
13;EntryLong;Enter1;8/26/20;3:05:00 AM;1919;1;-250;-0,130276185513288;3380;3,38;1160;0,604481500781657;-250;-0,130276185513288
14;ExitLong;Stop Loss;8/26/20;8:20:00 AM;1916,5;1;;;;;;;;
15;EntryLong;Enter1;9/1/20;2:35:00 AM;1992;1;-200;-0,100401606425703;3180;3,18;920;0,461847389558233;-200;-0,100401606425703
16;ExitLong;Stop Loss;9/1/20;9:40:00 AM;1990;1;;;;;;;;
17;EntryLong;Enter1;9/1/20;10:50:00 AM;1971,3;1;-360;-0,182620605691676;2820;2,82;1530;0,776137574189621;-360;-0,182620605691676
18;ExitLong;Stop Loss;9/1/20;9:10:00 PM;1967,7;1;;;;;;;;
19;EntryLong;Enter1;9/2/20;3:30:00 AM;1965;1;-150;-0,0763358778625954;2670;2,67;90;0,0458015267175573;-150;-0,0763358778625954
20;ExitLong;Stop Loss;9/2/20;3:35:00 AM;1963,5;1;;;;;;;;
21;EntryLong;Enter1;9/2/20;8:15:00 AM;1961,8;1;1300;0,662656743806708;3970;3,97;1300;0,662656743806708;0;0
22;ExitLong;Profit Target;9/2/20;8:30:00 AM;1974,8;1;;;;;;;;
23;EntryLong;Enter1;9/2/20;9:30:00 AM;1961,8;1;-260;-0,132531348761342;3710;3,71;250;0,127433989193598;-260;-0,132531348761342
24;ExitLong;Stop Loss;9/2/20;9:35:00 AM;1959,2;1;;;;;;;;
25;EntryLong;Enter1;9/3/20;1:50:00 AM;1938,7;1;-250;-0,128952390777325;3460;3,46;430;0,221798112136999;-250;-0,128952390777325
26;ExitLong;Stop Loss;9/3/20;2:45:00 AM;1936,2;1;;;;;;;;
27;EntryLong;Enter1;9/3/20;7:30:00 AM;1932,5;1;860;0,445019404915912;4320;4,32;860;0,445019404915912;0;0
28;ExitLong;Profit Target;9/3/20;7:55:00 AM;1941,1;1;;;;;;;;
29;EntryLong;Enter1;9/9/20;6:55:00 AM;1929,1;1;-190;-0,0984915245451247;4130;4,13;70;0,0362863511482038;-190;-0,0984915245451247
30;ExitLong;Stop Loss;9/9/20;7:15:00 AM;1927,2;1;;;;;;;;
31;EntryLong;Enter1;9/10/20;2:25:00 AM;1952,2;1;-120;-0,0614691117713349;4010;4,01;190;0,0973260936379469;-120;-0,0614691117713349
32;ExitLong;Stop Loss;9/10/20;2:45:00 AM;1951;1;;;;;;;;
