Order #;Type;Signal;Date;Time;Price;Contracts;Profit ($);Profit (%);Cum. Profit ($);Cum. Profit (%);Run-up ($);Run-up (%);Drawdown ($);Drawdown (%)
1;EntryLong;Enter1;8/23/20;7:10:00 PM;11571,75;1;860;0,371594616198933;860;0,86;860;0,371594616198933;0;0
2;ExitLong;Profit Target;8/23/20;10:40:00 PM;11614,75;1;;;;;;;;
3;EntryLong;Enter1;8/24/20;11:10:00 PM;11672,25;1;-125;-0,0535458030799546;735;0,735;310;0,132793591638287;-125;-0,0535458030799546
4;ExitLong;Stop Loss;8/25/20;3:30:00 AM;11666;1;;;;;;;;
5;EntryLong;Enter1;8/26/20;2:10:00 AM;11730;1;970;0,413469735720375;1705;1,705;970;0,413469735720375;-45;-0,0191815856777494
6;ExitLong;Profit Target;8/26/20;6:30:00 AM;11778,5;1;;;;;;;;
7;EntryLong;Enter1;8/28/20;2:40:00 AM;11934,75;1;-275;-0,115209786547686;1430;1,43;625;0,261840423972015;-275;-0,115209786547686
8;ExitLong;Stop Loss;8/28/20;5:25:00 AM;11921;1;;;;;;;;
9;EntryLong;Enter1;8/28/20;5:25:00 AM;11922;1;1360;0,570374098305653;2790;2,79;1360;0,570374098305653;0;0
10;ExitLong;Profit Target;8/28/20;8:35:00 AM;11990;1;;;;;;;;
11;EntryLong;Enter1;8/31/20;1:40:00 PM;12123,5;1;-230;-0,0948570957231823;2560;2,56;705;0,290757619499319;-230;-0,0948570957231823
12;ExitLong;Stop Loss;8/31/20;2:25:00 PM;12112;1;;;;;;;;
13;EntryLong;Enter1;9/1/20;6:40:00 AM;12209;1;-200;-0,081906790072897;2360;2,36;450;0,184290277664018;-200;-0,081906790072897
14;ExitLong;Stop Loss;9/1/20;8:00:00 AM;12199;1;;;;;;;;
15;EntryLong;Enter1;9/1/20;1:50:00 PM;12257,25;1;870;0,354892002692284;3230;3,23;870;0,354892002692284;0;0
16;ExitLong;Profit Target;9/1/20;3:00:00 PM;12300,75;1;;;;;;;;
17;EntryLong;Enter1;9/3/20;12:45:00 AM;12360,25;1;-295;-0,119334155862543;2935;2,935;1015;0,410590400679598;-295;-0,119334155862543
18;ExitLong;Stop Loss;9/3/20;4:15:00 AM;12345,5;1;;;;;;;;
19;EntryLong;Enter1;9/4/20;6:45:00 AM;11619,5;1;2580;1,11020267653513;5515;5,515;2580;1,11020267653513;-85;-0,0365764447695684
20;ExitLong;Profit Target;9/4/20;8:25:00 AM;11748,5;1;;;;;;;;
21;EntryLong;Enter1;9/4/20;12:25:00 PM;11406;1;3935;1,72496931439593;9450;9,45;3935;1,72496931439593;-645;-0,282745923198317
22;ExitLong;Profit Target;9/4/20;1:45:00 PM;11602,75;1;;;;;;;;
23;EntryLong;Enter1;9/7/20;1:55:00 AM;11376;1;2940;1,292194092827;12390;12,39;2940;1,292194092827;-95;-0,0417545710267229
24;ExitLong;Profit Target;9/7/20;10:55:00 AM;11523;1;;;;;;;;
25;EntryLong;Enter1;9/9/20;6:15:00 AM;11210,75;1;-450;-0,200700220770243;11940;11,94;180;0,0802800883080971;-450;-0,200700220770243
26;ExitLong;Stop Loss;9/9/20;6:15:00 AM;11188,25;1;;;;;;;;
27;EntryLong;Enter1;9/9/20;3:05:00 PM;11367;1;-395;-0,173748570423155;11545;11,545;1620;0,712589073634204;-395;-0,173748570423155
28;ExitLong;Stop Loss;9/9/20;8:40:00 PM;11347,25;1;;;;;;;;
29;EntryLong;Enter1;9/11/20;9:15:00 AM;11088,25;1;-870;-0,392307172006403;10675;10,675;3215;1,44973282528803;-870;-0,392307172006403
30;ExitLong;Stop Loss;9/11/20;11:40:00 AM;11044,75;1;;;;;;;;
31;EntryLong;Enter1;9/14/20;12:35:00 AM;11193,5;1;995;0,44445437084022;11670;11,67;995;0,44445437084022;0;0
32;ExitLong;Profit Target;9/14/20;1:05:00 AM;11243,25;1;;;;;;;;
33;EntryLong;Enter1;9/14/20;12:35:00 PM;11174,75;1;2685;1,20136915814671;14355;14,355;2685;1,20136915814671;0;0
34;ExitLong;Profit Target;9/14/20;2:50:00 PM;11309;1;;;;;;;;
35;EntryLong;Enter1;9/15/20;2:20:00 AM;11296,25;1;910;0,40278853601859;15265;15,265;910;0,40278853601859;0;0
36;ExitLong;Profit Target;9/15/20;4:05:00 AM;11341,75;1;;;;;;;;
