Order #;Type;Signal;Date;Time;Price;Contracts;Profit ($);Profit (%);Cum. Profit ($);Cum. Profit (%);Run-up ($);Run-up (%);Drawdown ($);Drawdown (%)
1;EntryLong;Enter1;8/20/20;1:00:00 AM;3352,25;1;337,5;0,201357297337609;337,5;0,3375;337,5;0,201357297337609;0;0
2;ExitLong;Profit Target;8/20/20;1:35:00 AM;3359;1;;;;;;;;
3;EntryLong;Enter1;8/20/20;10:15:00 AM;3367,75;1;375;0,222700616138371;712,5;0,7125;375;0,222700616138371;-50;-0,0296934154851162
4;ExitLong;Profit Target;8/20/20;10:40:00 AM;3375,25;1;;;;;;;;
5;EntryLong;Enter1;8/20/20;2:25:00 PM;3378,25;1;350;0,207207873899208;1062,5;1,0625;350;0,207207873899208;-62,5;-0,03700140605343
6;ExitLong;Profit Target;8/20/20;2:45:00 PM;3385,25;1;;;;;;;;
7;EntryLong;Enter1;8/21/20;5:30:00 AM;3378,25;1;-125;-0,07400281210686;937,5;0,9375;50;0,029601124842744;-125;-0,07400281210686
8;ExitLong;Stop Loss;8/21/20;5:45:00 AM;3375,75;1;;;;;;;;
9;EntryLong;Enter1;8/21/20;11:00:00 AM;3378,5;1;425;0,251590942726062;1362,5;1,3625;425;0,251590942726062;-12,5;-0,00739973360959005
10;ExitLong;Profit Target;8/21/20;11:25:00 AM;3387;1;;;;;;;;
11;EntryLong;Enter1;8/23/20;7:05:00 PM;3395,5;1;387,5;0,228243263142394;1750;1,75;387,5;0,228243263142394;-100;-0,0589014872625534
12;ExitLong;Profit Target;8/23/20;8:45:00 PM;3403,25;1;;;;;;;;
13;EntryLong;Enter1;8/24/20;11:30:00 AM;3416;1;-100;-0,0585480093676815;1650;1,65;187,5;0,109777517564403;-100;-0,0585480093676815
14;ExitLong;Stop Loss;8/24/20;12:55:00 PM;3414;1;;;;;;;;
15;EntryLong;Enter1;8/25/20;7:20:00 AM;3439,25;1;-137,5;-0,079959293450607;1512,5;1,5125;162,5;0,0944973468052628;-137,5;-0,079959293450607
16;ExitLong;Stop Loss;8/25/20;8:30:00 AM;3436,5;1;;;;;;;;
17;EntryLong;Enter1;8/25/20;10:25:00 PM;3440,75;1;-100;-0,0581268618760445;1412,5;1,4125;187,5;0,108987866017583;-100;-0,0581268618760445
18;ExitLong;Stop Loss;8/26/20;1:15:00 AM;3438,75;1;;;;;;;;
19;EntryLong;Enter1;8/26/20;1:20:00 AM;3439,5;1;-100;-0,0581479866259631;1312,5;1,3125;187,5;0,109027474923681;-100;-0,0581479866259631
20;ExitLong;Stop Loss;8/26/20;2:05:00 AM;3437,5;1;;;;;;;;
21;EntryLong;Enter1;8/26/20;8:35:00 AM;3442,25;1;262,5;0,152516522623284;1575;1,575;262,5;0,152516522623284;-62,5;-0,0363134577674486
22;ExitLong;Profit Target;8/26/20;9:10:00 AM;3447,5;1;;;;;;;;
23;EntryLong;Enter1;8/26/20;2:05:00 PM;3462,5;1;512,5;0,296028880866426;2087,5;2,0875;512,5;0,296028880866426;0;0
24;ExitLong;Profit Target;8/26/20;2:15:00 PM;3472,75;1;;;;;;;;
