Order #;Type;Signal;Date;Time;Price;Contracts;Profit ($);Profit (%);Cum. Profit ($);Cum. Profit (%);Run-up ($);Run-up (%);Drawdown ($);Drawdown (%)
1;EntryLong;Enter1;8/20/20;1:00:00 AM;1955,2;1;-300;-0,153436988543372;-300;-0,3;50;0,0255728314238953;-300;-0,153436988543372
2;ExitLong;Stop Loss;8/20/20;1:10:00 AM;1952,2;1;;;;;;;;
3;EntryShort;Enter1;8/20/20;2:20:00 AM;1956,3;1;2140;1,09390175330982;1840;1,84;2140;1,09390175330982;-120;-0,0613402852323263
4;ExitShort;Profit Target;8/20/20;4:15:00 AM;1934,9;1;;;;;;;;
5;EntryLong;Enter1;8/20/20;5:35:00 AM;1933,1;1;-410;-0,21209456313693;1430;1,43;480;0,248305830013967;-410;-0,21209456313693
6;ExitLong;Stop Loss;8/20/20;6:20:00 AM;1929;1;;;;;;;;
7;EntryLong;Enter1;8/20/20;8:20:00 AM;1941,1;1;-300;-0,15455154293957;1130;1,13;1390;0,716088815620009;-300;-0,15455154293957
8;ExitLong;Stop Loss;8/20/20;9:00:00 AM;1938,1;1;;;;;;;;
9;EntryLong;Enter1;8/20/20;9:45:00 AM;1933,8;1;1860;0,961836798014272;2990;2,99;1860;0,961836798014272;-30;-0,0155134967421657
10;ExitLong;Profit Target;8/20/20;10:55:00 AM;1952,4;1;;;;;;;;
11;EntryLong;Enter1;8/20/20;8:25:00 PM;1957,9;1;-300;-0,153225394555391;2690;2,69;390;0,199193012922008;-300;-0,153225394555391
12;ExitLong;Stop Loss;8/20/20;9:10:00 PM;1954,9;1;;;;;;;;
13;EntryLong;Enter1;8/20/20;11:55:00 PM;1956,2;1;-140;-0,0715673244044576;2550;2,55;290;0,148246600552091;-140;-0,0715673244044576
14;ExitLong;Stop Loss;8/21/20;12:40:00 AM;1954,8;1;;;;;;;;
15;EntryLong;Enter1;8/21/20;6:40:00 AM;1937,4;1;-250;-0,12903891813771;2300;2,3;360;0,185816042118303;-250;-0,12903891813771
16;ExitLong;Stop Loss;8/21/20;7:25:00 AM;1934,9;1;;;;;;;;
17;EntryLong;Enter1;8/21/20;2:15:00 PM;1943;1;-180;-0,0926402470406588;2120;2,12;600;0,308800823468863;-180;-0,0926402470406588
18;ExitLong;Stop Loss;8/23/20;6:10:00 PM;1941,2;1;;;;;;;;
19;EntryLong;Enter1;8/24/20;1:50:00 AM;1939,1;1;730;0,376463307720076;2850;2,85;730;0,376463307720076;-80;-0,0412562529008303
20;ExitLong;Profit Target;8/24/20;3:10:00 AM;1946,4;1;;;;;;;;
21;EntryLong;Enter1;8/24/20;5:05:00 AM;1953;1;790;0,404505888376856;3640;3,64;790;0,404505888376856;-130;-0,0665642601126472
22;ExitLong;Profit Target;8/24/20;8:05:00 AM;1960,9;1;;;;;;;;
23;EntryLong;Enter1;8/24/20;10:40:00 AM;1945,3;1;-240;-0,123374286742405;3400;3,4;160;0,0822495244949365;-240;-0,123374286742405
24;ExitLong;Stop Loss;8/24/20;10:45:00 AM;1942,9;1;;;;;;;;
25;EntryLong;Enter1;8/24/20;6:45:00 PM;1934,8;1;-140;-0,0723589001447178;3260;3,26;240;0,124043828819516;-140;-0,0723589001447178
26;ExitLong;Stop Loss;8/24/20;8:05:00 PM;1933,4;1;;;;;;;;
27;EntryLong;Enter1;8/25/20;3:00:00 AM;1936,1;1;-190;-0,098135426889107;3070;3,07;700;0,361551572749341;-190;-0,098135426889107
28;ExitLong;Stop Loss;8/25/20;4:20:00 AM;1934,2;1;;;;;;;;
29;EntryLong;Enter1;8/25/20;11:25:00 PM;1933,8;1;-140;-0,0723963181301065;2930;2,93;20;0,0103423311614438;-140;-0,0723963181301065
30;ExitLong;Stop Loss;8/25/20;11:50:00 PM;1932,4;1;;;;;;;;
31;EntryLong;Enter1;8/27/20;6:45:00 AM;1947,1;1;-270;-0,138667762313184;2660;2,66;180;0,0924451748754558;-270;-0,138667762313184
32;ExitLong;Stop Loss;8/27/20;7:10:00 AM;1944,4;1;;;;;;;;
33;EntryLong;Enter1;8/28/20;12:45:00 PM;1976,6;1;-160;-0,080947080845897;2500;2,5;220;0,111302236163108;-160;-0,080947080845897
34;ExitLong;Stop Loss;8/28/20;1:15:00 PM;1975;1;;;;;;;;
35;EntryLong;Enter1;8/28/20;3:15:00 PM;1972,2;1;1240;0,62873947875469;3740;3,74;1240;0,62873947875469;-190;-0,0963391136801541
36;ExitLong;Profit Target;8/30/20;6:50:00 PM;1984,6;1;;;;;;;;
37;EntryLong;Enter1;8/30/20;8:20:00 PM;1980,9;1;-170;-0,0858195769599677;3570;3,57;70;0,035337472865869;-170;-0,0858195769599677
