Order #;Type;Signal;Date;Time;Price;Contracts;Profit ($);Profit (%);Cum. Profit ($);Cum. Profit (%);Run-up ($);Run-up (%);Drawdown ($);Drawdown (%)
1;EntryLong;Enter1;8/20/20;1:55:00 AM;11263,25;1;460;0,204203937584623;460;0,46;460;0,204203937584623;-100;-0,0443921603444832
2;ExitLong;Profit Target;8/20/20;2:25:00 AM;11286,25;1;;;;;;;;
3;EntryLong;Enter1;8/20/20;11:35:00 AM;11405,75;1;-165;-0,072331937838371;295;0,295;135;0,0591806764132126;-165;-0,072331937838371
4;ExitLong;Stop Loss;8/20/20;11:55:00 AM;11397,5;1;;;;;;;;
5;EntryLong;Enter1;8/20/20;11:45:00 PM;11501;1;-110;-0,0478219285279541;185;0,185;175;0,076080340839927;-110;-0,0478219285279541
6;ExitLong;Stop Loss;8/21/20;12:50:00 AM;11495,5;1;;;;;;;;
7;EntryLong;Enter1;8/21/20;3:35:00 AM;11466,5;1;-225;-0,0981118911612087;-40;-0,04;585;0,255090917019143;-225;-0,0981118911612087
8;ExitLong;Stop Loss;8/21/20;5:50:00 AM;11455,25;1;;;;;;;;
9;EntryLong;Enter1;8/21/20;9:10:00 AM;11470,25;1;815;0,355266886074846;775;0,775;815;0,355266886074846;0;0
10;ExitLong;Profit Target;8/21/20;9:30:00 AM;11511;1;;;;;;;;
11;EntryLong;Enter1;8/21/20;11:55:00 AM;11531,75;1;-165;-0,0715416133717779;610;0,61;225;0,0975567455069699;-165;-0,0715416133717779
12;ExitLong;Stop Loss;8/21/20;12:05:00 PM;11523,5;1;;;;;;;;
13;EntryLong;Enter1;8/23/20;8:10:00 PM;11581,75;1;455;0,19642972780452;1065;1,065;455;0,19642972780452;-25;-0,0107928421870615
14;ExitLong;Profit Target;8/23/20;8:45:00 PM;11604,5;1;;;;;;;;
15;EntryLong;Enter1;8/24/20;8:30:00 AM;11684,25;1;490;0,209683976292873;1555;1,555;490;0,209683976292873;-50;-0,0213963241115176
16;ExitLong;Profit Target;8/24/20;8:40:00 AM;11708,75;1;;;;;;;;
17;EntryLong;Enter1;8/24/20;11:45:00 AM;11599,25;1;505;0,21768648835054;2060;2,06;505;0,21768648835054;-40;-0,0172424941267754
18;ExitLong;Profit Target;8/24/20;12:05:00 PM;11624,5;1;;;;;;;;
19;EntryLong;Enter1;8/25/20;12:10:00 PM;11655,75;1;760;0,326019346674388;2820;2,82;760;0,326019346674388;-20;-0,00857945649143127
20;ExitLong;Profit Target;8/25/20;1:40:00 PM;11693,75;1;;;;;;;;
21;EntryLong;Enter1;8/25/20;7:40:00 PM;11743,5;1;-95;-0,0404479073530038;2725;2,725;115;0,0489632562694256;-95;-0,0404479073530038
22;ExitLong;Stop Loss;8/25/20;8:05:00 PM;11738,75;1;;;;;;;;
23;EntryLong;Enter1;8/26/20;1:15:00 AM;11730,75;1;640;0,27278733243825;3365;3,365;640;0,27278733243825;-80;-0,0340984165547812
24;ExitLong;Profit Target;8/26/20;3:40:00 AM;11762,75;1;;;;;;;;
25;EntryLong;Enter1;8/26/20;1:50:00 PM;11895,5;1;-210;-0,0882686730276155;3155;3,155;470;0,197553696776092;-210;-0,0882686730276155
26;ExitLong;Stop Loss;8/26/20;2:00:00 PM;11885;1;;;;;;;;
27;EntryLong;Enter1;8/27/20;12:00:00 AM;11959;1;-150;-0,0627142737687098;3005;3,005;40;0,0167238063383226;-150;-0,0627142737687098
28;ExitLong;Stop Loss;8/27/20;12:10:00 AM;11951,5;1;;;;;;;;
29;EntryLong;Enter1;8/27/20;1:25:00 AM;11951,25;1;615;0,257295262001883;3620;3,62;615;0,257295262001883;-160;-0,0669386047484573
30;ExitLong;Profit Target;8/27/20;8:20:00 AM;11982;1;;;;;;;;
31;EntryLong;Enter1;8/27/20;1:55:00 PM;11953,25;1;430;0,179867400079476;4050;4,05;430;0,179867400079476;-70;-0,0292807395478217
32;ExitLong;Profit Target;8/27/20;2:05:00 PM;11974,75;1;;;;;;;;
33;EntryLong;Enter1;8/27/20;9:40:00 PM;11958,75;1;475;0,198599351938957;4525;4,525;475;0,198599351938957;0;0
34;ExitLong;Profit Target;8/27/20;9:55:00 PM;11982,5;1;;;;;;;;
35;EntryLong;Enter1;8/28/20;5:25:00 AM;11922,25;1;720;0,301956426010191;5245;5,245;720;0,301956426010191;0;0
36;ExitLong;Profit Target;8/28/20;6:10:00 AM;11958,25;1;;;;;;;;
